County,State,Population,Total Votes,Democrats,Republican,Other
Autauga County,Alabama,53277,23641,6093,17403,145
Baldwin County,Alabama,175827,81413,19386,61271,756
Barbour County,Alabama,27808,11630,5697,5866,67
Bibb County,Alabama,22705,8644,2299,6262,83
Blount County,Alabama,57055,24267,3522,20389,356
Bullock County,Alabama,10953,5415,4011,1391,13
Butler County,Alabama,20949,9709,4188,5485,36
Calhoun County,Alabama,117274,49242,16334,32348,560
Chambers County,Alabama,34563,14956,6799,8067,90
Cherokee County,Alabama,25636,9745,2306,7298,141
Chilton County,Alabama,43239,17785,3674,13960,151
Choctaw County,Alabama,14114,7894,3636,4223,35
Clarke County,Alabama,26283,13435,5914,7466,55
Clay County,Alabama,14161,6819,1760,4984,75
Cleburne County,Alabama,14874,6492,1168,5216,108
Coffee County,Alabama,48516,20128,5079,14919,130
Colbert County,Alabama,54473,24843,9703,14739,401
Conecuh County,Alabama,13388,6943,3429,3470,44
Coosa County,Alabama,11493,5563,2273,3248,42
Covington County,Alabama,37545,15787,3240,12444,103
Crenshaw County,Alabama,13922,6291,1938,4319,34
Cullman County,Alabama,80273,35305,5864,28896,545
Dale County,Alabama,49871,19320,5270,13886,164
Dallas County,Alabama,44265,20852,13986,6798,68
DeKalb County,Alabama,70228,24015,5658,17957,400
Elmore County,Alabama,77698,34315,8301,25777,237
Escambia County,Alabama,37929,14674,5188,9375,111
Etowah County,Alabama,104206,44737,13497,30595,645
Fayette County,Alabama,17541,7957,1994,5883,80
Franklin County,Alabama,31459,11693,3469,8048,176
Geneva County,Alabama,26646,11657,2134,9417,106
Greene County,Alabama,9359,5305,4408,876,21
Hale County,Alabama,16260,8214,4982,3200,32
Henry County,Alabama,17129,8648,3018,5585,45
Houston County,Alabama,99183,41735,12225,29254,256
Jackson County,Alabama,53525,20874,6374,14083,417
Jefferson County,Alabama,656510,318524,166121,149921,2482
Lamar County,Alabama,14799,7075,1614,5419,42
Lauderdale County,Alabama,92202,38104,13329,24068,707
Lawrence County,Alabama,34196,14680,5164,9277,239
Lee County,Alabama,134524,54325,21498,32230,597
Limestone County,Alabama,78835,33551,9536,23598,417
Lowndes County,Alabama,11813,7278,5449,1809,20
Macon County,Alabama,21597,10877,9450,1396,31
Madison County,Alabama,323526,152899,64117,86965,1817
Marengo County,Alabama,21331,11471,5926,5516,29
Marion County,Alabama,30918,12355,2600,9536,219
Marshall County,Alabama,91072,33166,7038,25727,401
Mobile County,Alabama,409196,181424,82181,98049,1194
Monroe County,Alabama,23393,11252,5025,6175,52
Montgomery County,Alabama,227461,104743,62166,42031,546
Morgan County,Alabama,117694,50542,13895,36014,633
Perry County,Alabama,10722,6159,4457,1679,23
Pickens County,Alabama,19951,10067,4594,5434,39
Pike County,Alabama,32149,13955,5879,8004,72
Randolph County,Alabama,22946,10384,3064,7175,145
Russell County,Alabama,51434,18915,10085,8705,125
St. Clair County,Alabama,81223,34088,6091,27649,348
Shelby County,Alabama,188534,90643,20625,69060,958
Sumter County,Alabama,13882,7020,5264,1731,25
Talladega County,Alabama,82735,34204,13779,20112,313
Tallapoosa County,Alabama,41668,19311,6063,13116,132
Tuscaloosa County,Alabama,188093,78912,32796,45405,711
Walker County,Alabama,67835,28652,7420,20722,510
Washington County,Alabama,17496,8775,3067,5654,54
Wilcox County,Alabama,12148,6494,4612,1868,14
Winston County,Alabama,24696,10031,1757,8103,171
Apache County,Arizona,69883,24262,15390,8551,321
Cochise County,Arizona,129023,48820,18943,29026,851
Coconino County,Arizona,131853,54344,31433,22186,725
Gila County,Arizona,53437,22333,7884,14095,354
Graham County,Arizona,36639,12007,3487,8376,144
Greenlee County,Arizona,8561,2913,1165,1712,36
La Paz County,Arizona,20555,5552,1929,3509,114
Maricopa County,Arizona,3771061,1364962,602166,746448,16348
Mohave County,Arizona,200078,67605,22092,44333,1180
Navajo County,Arizona,107626,35800,15579,19761,460
Pima County,Arizona,967778,393428,206254,182406,4768
Pinal County,Arizona,335311,104883,44254,59421,1208
Santa Cruz County,Arizona,46144,13303,8683,4518,102
Yavapai County,Arizona,211211,99648,36889,61192,1567
Yuma County,Arizona,191202,43615,18559,24577,479
Arkansas County,Arkansas,19275,6978,2619,4185,174
Ashley County,Arkansas,22148,8642,2976,5406,260
Baxter County,Arkansas,41519,19981,6539,12852,590
Benton County,Arkansas,210807,76073,23331,51124,1618
Boone County,Arkansas,36974,15474,4435,10575,464
Bradley County,Arkansas,11643,4041,1680,2262,99
Calhoun County,Arkansas,5528,2217,691,1462,64
Carroll County,Arkansas,26822,10579,4172,6083,324
Chicot County,Arkansas,12050,5208,3043,2119,46
Clark County,Arkansas,23272,9094,4267,4608,219
Clay County,Arkansas,16209,5511,2244,3032,235
Cleburne County,Arkansas,25623,11338,2951,7962,425
Cleveland County,Arkansas,8775,3505,911,2451,143
Columbia County,Arkansas,24666,9558,3554,5861,143
Conway County,Arkansas,21025,8138,3149,4691,298
Craighead County,Arkansas,93316,30968,11294,18881,793
Crawford County,Arkansas,60933,20532,5238,14688,606
Crittenden County,Arkansas,50699,18255,10330,7650,275
Cross County,Arkansas,18200,7130,2580,4393,157
Dallas County,Arkansas,8282,3318,1471,1757,90
Desha County,Arkansas,13273,4678,2569,1999,110
Drew County,Arkansas,18481,6610,2598,3860,152
Faulkner County,Arkansas,108477,41179,14955,25362,862
Franklin County,Arkansas,18229,6475,1869,4411,195
Fulton County,Arkansas,12382,4676,1819,2702,155
Garland County,Arkansas,95636,43719,15899,26825,995
Grant County,Arkansas,17718,6793,1562,5023,208
Greene County,Arkansas,41286,13612,4541,8578,493
Hempstead County,Arkansas,22624,7349,2869,4273,207
Hot Spring County,Arkansas,32737,11955,4288,7209,458
Howard County,Arkansas,13804,4846,1746,2957,143
Independence County,Arkansas,35859,12299,3688,8255,356
Izard County,Arkansas,13681,5218,1792,3193,233
Jackson County,Arkansas,17966,5582,2207,3118,257
Jefferson County,Arkansas,78354,29689,18465,10655,569
Johnson County,Arkansas,25236,8180,3034,4922,224
Lafayette County,Arkansas,7806,2902,1133,1685,84
Lawrence County,Arkansas,17460,5830,2138,3357,335
Lee County,Arkansas,10786,3763,2263,1454,46
Lincoln County,Arkansas,14176,4406,1710,2513,183
Little River County,Arkansas,13099,5152,1753,3247,152
Logan County,Arkansas,22699,7907,2286,5350,271
Lonoke County,Arkansas,66086,23741,5968,17242,531
Madison County,Arkansas,15619,6328,2144,3972,212
Marion County,Arkansas,16996,7162,2384,4524,254
Miller County,Arkansas,43047,15063,4869,9913,281
Mississippi County,Arkansas,47037,14010,6667,6976,367
Monroe County,Arkansas,8456,3449,1615,1754,80
Montgomery County,Arkansas,9573,3622,1092,2365,165
Nevada County,Arkansas,9062,3635,1474,2062,99
Newton County,Arkansas,8423,3960,1182,2588,190
Ouachita County,Arkansas,26202,9960,4346,5427,187
Perry County,Arkansas,10441,4279,1352,2743,184
Phillips County,Arkansas,22411,8969,5695,3097,177
Pike County,Arkansas,11283,3966,1089,2727,150
Poinsett County,Arkansas,24599,7928,2742,4903,283
Polk County,Arkansas,20388,7681,1957,5473,251
Pope County,Arkansas,60528,22079,6002,15568,509
Prairie County,Arkansas,8806,3381,1048,2223,110
Pulaski County,Arkansas,376567,161343,88854,70212,2277
Randolph County,Arkansas,18072,6319,2469,3615,235
St. Francis County,Arkansas,28110,9505,5486,3917,102
Saline County,Arkansas,102599,44653,12695,30981,977
Scott County,Arkansas,11227,3995,1053,2791,151
Searcy County,Arkansas,8274,3847,961,2726,160
Sebastian County,Arkansas,123762,43212,13673,28637,902
Sevier County,Arkansas,16606,4580,1291,3125,164
Sharp County,Arkansas,17416,7252,2436,4535,281
Stone County,Arkansas,12370,5324,1598,3534,192
Union County,Arkansas,42222,17179,6190,10677,312
Van Buren County,Arkansas,17373,6703,2151,4276,276
Washington County,Arkansas,197223,68380,29021,37963,1396
White County,Arkansas,74848,26955,6732,19467,756
Woodruff County,Arkansas,7458,2761,1412,1206,143
Yell County,Arkansas,21935,6036,2003,3808,225
Alameda County,California,1477208,621029,489106,119555,12368
Alpine County,California,1202,692,422,252,18
Amador County,California,38248,18810,7813,10561,436
Butte County,California,219034,98325,49013,46706,2606
Calaveras County,California,46265,23306,9813,12835,658
Colusa County,California,21134,6429,2569,3733,127
Contra Costa County,California,1023344,451650,306983,136436,8231
Del Norte County,California,28496,9531,4323,4967,241
El Dorado County,California,179150,92926,40529,50314,2083
Fresno County,California,909630,272289,136706,131015,4568
Glenn County,California,28019,9879,3734,5910,235
Humboldt County,California,132657,63727,39692,21713,2322
Imperial County,California,167917,38820,24162,14008,650
Inyo County,California,18318,8533,3743,4523,267
Kern County,California,818327,232850,93457,134793,4600
Kings County,California,152027,35108,14747,19710,651
Lake County,California,64392,25542,14854,9935,753
Lassen County,California,35221,11387,3586,7483,318
Los Angeles County,California,9735147,3318248,2295853,956425,65970
Madera County,California,148359,42355,17952,23583,820
Marin County,California,248398,140197,109320,28384,2493
Mariposa County,California,18412,9651,4100,5298,253
Mendocino County,California,87468,40016,27843,10721,1452
Merced County,California,250538,63808,34031,28704,1073
Modoc County,California,9551,4420,1313,2981,126
Mono County,California,13862,5571,3093,2354,124
Monterey County,California,406022,129783,88453,38797,2533
Napa County,California,134093,59642,38849,19484,1309
Nevada County,California,98200,55647,28617,25663,1367
Orange County,California,2957593,1153687,549558,579064,25065
Placer County,California,337568,173107,75112,94647,3348
Plumas County,California,20410,11028,4715,6035,278
Riverside County,California,2109712,647299,325017,310041,12241
Sacramento County,California,1394438,541101,316506,213583,11012
San Benito County,California,54267,19705,11917,7425,363
San Bernardino County,California,2003735,606334,315720,277408,13206
San Diego County,California,3022116,1231047,666581,541032,23434
San Francisco County,California,791152,382865,322220,52292,8353
San Joaquin County,California,671692,209349,113974,91607,3768
San Luis Obispo County,California,266358,132653,68176,61055,3422
