County,State,Population,Total Votes,Democrats,Republican,Other
Marion County,Arkansas,16621,7051,2037,4774,240
Miller County,Arkansas,43663,15329,4518,10622,189
Mississippi County,Arkansas,45553,13375,6467,6603,305
Monroe County,Arkansas,7854,3230,1583,1585,62
Montgomery County,Arkansas,9340,3404,920,2369,115
Nevada County,Arkansas,8909,3384,1314,1996,74
Newton County,Arkansas,8052,3661,993,2508,160
Ouachita County,Arkansas,25398,10315,4633,5521,161
Perry County,Arkansas,10328,3938,1187,2581,170
Phillips County,Arkansas,20736,7930,5202,2598,130
Pike County,Arkansas,11254,3788,851,2847,90
Poinsett County,Arkansas,24299,7560,2390,4974,196
Polk County,Arkansas,20420,7726,1556,5955,215
Pope County,Arkansas,62631,20439,5126,14763,550
Prairie County,Arkansas,8482,3141,880,2153,108
Pulaski County,Arkansas,389225,159381,87248,68984,3149
Randolph County,Arkansas,17840,5956,2046,3701,209
St. Francis County,Arkansas,27992,8362,4910,3368,84
Saline County,Arkansas,111442,47062,12869,32963,1230
Scott County,Arkansas,11033,3640,897,2631,112
Searcy County,Arkansas,8005,3694,814,2699,181
Sebastian County,Arkansas,127571,43362,13092,29169,1101
Sevier County,Arkansas,17188,4330,1042,3136,152
Sharp County,Arkansas,17034,7283,2092,4921,270
Stone County,Arkansas,12542,5354,1356,3776,222
Union County,Arkansas,40861,17177,6196,10699,282
Van Buren County,Arkansas,17162,6430,1832,4365,233
Washington County,Arkansas,211756,70460,28236,39688,2536
White County,Arkansas,78641,26514,5765,20011,738
Woodruff County,Arkansas,7052,2685,1340,1227,118
Yell County,Arkansas,21824,5974,1722,4042,210
Alameda County,California,1553764,595642,469684,108182,17776
Alpine County,California,1110,653,389,236,28
Amador County,California,37104,17649,6830,10281,538
Butte County,California,220869,90752,42669,44479,3604
Calaveras County,California,44815,21786,8670,12365,751
Colusa County,California,21284,6034,2314,3601,119
Contra Costa County,California,1077548,438226,290824,136517,10885
Del Norte County,California,28190,8770,3791,4614,365
El Dorado County,California,180575,88774,35166,50973,2635
Fresno County,California,945045,258827,129129,124490,5208
Glenn County,California,27851,9211,3301,5632,278
Humboldt County,California,134572,57470,34457,18825,4188
Imperial County,California,176575,38565,25136,12777,652
Inyo County,California,18351,8036,3422,4340,274
Kern County,California,853606,221472,89495,126618,5359
Kings County,California,150991,31418,12979,17671,768
Lake County,California,63954,23391,13163,9200,1028
Lassen County,California,33629,10683,3053,7296,334
Los Angeles County,California,9935375,3181067,2216903,885333,78831
Madera County,California,151527,39866,16018,22852,996
Marin County,California,256061,134516,99896,30880,3740
Mariposa County,California,17881,9000,3498,5140,362
Mendocino County,California,87288,35017,23193,9658,2166
Merced County,California,260867,62057,33005,27581,1471
Modoc County,California,9351,3986,1111,2777,98
Mono County,California,14331,5181,2733,2285,163
Monterey County,California,424788,123518,82920,37390,3208
Napa County,California,138538,56968,35870,19526,1572
Nevada County,California,98137,51676,24663,24986,2027
Orange County,California,3078068,1122664,512440,582332,27892
Placer County,California,360263,171322,66818,99921,4583
Plumas County,California,19377,10047,4026,5721,300
Riverside County,California,2261204,661907,329063,318127,14717
Sacramento County,California,1444852,516809,300503,202514,13792
San Benito County,California,56599,19044,11276,7343,425
San Bernardino County,California,2073512,581517,305109,262358,14050
San Diego County,California,3174335,1192282,626957,536726,28599
San Francisco County,California,828876,361209,301723,47076,12410
San Joaquin County,California,699593,204697,114121,86071,4505
San Luis Obispo County,California,274160,125638,61258,59967,4413
San Mateo County,California,739224,285720,206085,72756,6879
Santa Barbara County,California,429699,163320,94129,64606,4585
Santa Clara County,California,1837853,643091,450818,174843,17430
Santa Cruz County,California,266340,120095,90805,24047,5243
Shasta County,California,177875,76335,25819,48067,2449
Sierra County,California,3067,1795,653,1056,86
Siskiyou County,California,44079,19910,8046,11077,787
Solano County,California,419674,152444,96783,52092,3569
Sonoma County,California,489993,216508,153942,54784,7782
Stanislaus County,California,520424,155369,77724,73459,4186
Sutter County,California,94189,31026,12192,18122,712
Tehama County,California,63212,22977,7934,14235,808
Trinity County,California,13489,5674,2674,2716,284
Tulare County,California,449779,101100,41752,56956,2392
Tuolumne County,California,54221,24687,9998,13880,809
Ventura County,California,833516,326974,170929,147958,8087
Yolo County,California,204576,74475,48715,23368,2392
Yuba County,California,72774,19700,7711,11275,714
Adams County,Colorado,460558,176230,100649,70972,4609
Alamosa County,Colorado,15680,6715,3811,2705,199
Arapahoe County,Colorado,596500,285516,153905,125588,6023
Archuleta County,Colorado,12132,6734,2679,3872,183
Baca County,Colorado,3722,2106,467,1559,80
Bent County,Colorado,5848,1942,815,1075,52
Boulder County,Colorado,304570,179499,125091,49981,4427
Broomfield County,Colorado,58971,32777,16966,15008,803
Chaffee County,Colorado,18154,10462,5086,5070,306
Cheyenne County,Colorado,1872,1093,172,889,32
Clear Creek County,Colorado,9018,5743,3119,2430,194
Conejos County,Colorado,8248,4101,2213,1835,53
Costilla County,Colorado,3603,1837,1340,446,51
Crowley County,Colorado,5467,1502,535,924,43
Custer County,Colorado,4219,2715,868,1788,59
Delta County,Colorado,30465,15925,4622,10915,388
Denver County,Colorado,635163,301694,222018,73111,6565
Dolores County,Colorado,2009,1245,334,859,52
Douglas County,Colorado,298708,167781,60991,104204,2586
Eagle County,Colorado,52334,22668,12792,9411,465
Elbert County,Colorado,23274,14178,3603,10266,309
El Paso County,Colorado,646003,290175,111819,170952,7404
Fremont County,Colorado,47052,20416,6704,13174,538
Garfield County,Colorado,56761,24408,11305,12535,568
Gilpin County,Colorado,5431,3338,1892,1346,100
Grand County,Colorado,14221,8187,3684,4253,250
Gunnison County,Colorado,15378,8667,5044,3341,282
Hinsdale County,Colorado,802,600,229,353,18
Huerfano County,Colorado,6565,3714,1953,1646,115
Jackson County,Colorado,1325,848,216,600,32
Jefferson County,Colorado,546602,311052,159296,144197,7559
Kiowa County,Colorado,1409,821,118,677,26
Kit Carson County,Colorado,8072,3702,838,2785,79
Lake County,Colorado,7253,3040,1839,1098,103
La Plata County,Colorado,52451,29184,15489,12794,901
Larimer County,Colorado,310842,180180,92747,82376,5057
Las Animas County,Colorado,14992,6862,3445,3263,154
Lincoln County,Colorado,5440,2287,552,1687,48
Logan County,Colorado,22356,9124,2712,6179,233
Mesa County,Colorado,147317,72947,23846,47472,1629
Mineral County,Colorado,719,650,291,344,15
Moffat County,Colorado,13171,6168,1330,4695,143
Montezuma County,Colorado,25476,12318,4542,7401,375
Montrose County,Colorado,40650,20130,6138,13552,440
Morgan County,Colorado,28248,10777,3912,6602,263
Otero County,Colorado,18634,8192,3647,4382,163
Ouray County,Colorado,4507,3202,1646,1481,75
Park County,Colorado,16049,9366,3862,5236,268
Phillips County,Colorado,4417,2265,588,1637,40
Pitkin County,Colorado,17292,10075,6849,3024,202
Prowers County,Colorado,12421,4863,1519,3230,114
Pueblo County,Colorado,160721,76194,42551,31894,1749
Rio Blanco County,Colorado,6758,3369,568,2724,77
Rio Grande County,Colorado,11866,5533,2478,2918,137
Routt County,Colorado,23272,13317,7547,5469,301
Saguache County,Colorado,6333,2930,1864,964,102
San Juan County,Colorado,692,506,266,212,28
San Miguel County,Colorado,7581,4256,2992,1154,110
Sedgwick County,Colorado,2378,1338,419,881,38
Summit County,Colorado,28298,15312,9347,5571,394
Teller County,Colorado,23445,13407,4333,8702,372
Washington County,Colorado,4701,2591,468,2076,47
Weld County,Colorado,264131,115866,49050,63775,3041
Yuma County,Colorado,10100,4577,987,3490,100
Fairfield County,Connecticut,935099,396130,217294,175168,3668
Hartford County,Connecticut,897706,392240,244639,143238,4363
Litchfield County,Connecticut,187570,92427,43856,47201,1370
Middlesex County,Connecticut,165634,83538,47855,34591,1092
New Haven County,Connecticut,864566,361026,218972,138357,3697
New London County,Connecticut,274091,115102,67144,46119,1839
Tolland County,Connecticut,151967,46588,25957,19768,863
Windham County,Connecticut,117914,46494,25957,19768,769
Kent County,Delaware,167297,68696,35527,32135,1034
New Castle County,Delaware,544848,252012,167082,81230,3700
Sussex County,Delaware,203034,93229,39975,52119,1135
District of Columbia,District of Columbia,634924,293764,267070,21381,5313
Alachua County,Florida,251520,120418,69699,48797,1922
Baker County,Florida,27053,11368,2311,8975,82
Bay County,Florida,171757,79861,22051,56876,934
Bradford County,Florida,27051,11635,3325,8219,91
Brevard County,Florida,546966,285559,122993,159300,3266
Broward County,Florida,1814253,756422,508312,244101,4009
Calhoun County,Florida,14665,6152,1664,4366,122
Charlotte County,Florida,162744,84682,35906,47996,780
Citrus County,Florida,139180,73935,28460,44662,813
Clay County,Florida,193861,96589,25759,70022,808
Collier County,Florida,332233,149112,51698,96520,894
Columbia County,Florida,67884,27163,8462,18429,272
DeSoto County,Florida,35005,9865,4174,5587,104
Dixie County,Florida,16153,6941,1798,5052,91
Duval County,Florida,880108,411848,196737,211615,3496
Escambia County,Florida,303423,148502,58185,88711,1606
Flagler County,Florida,98434,50595,23207,26969,419
Franklin County,Florida,11612,5474,1845,3570,59
Gadsden County,Florida,46574,22499,15770,6630,99
Gilchrist County,Florida,16897,7909,1885,5917,107
Glades County,Florida,12669,3989,1603,2344,42
Gulf County,Florida,15770,7108,2014,4995,99
Hamilton County,Florida,14721,5407,2228,3138,41
Hardee County,Florida,27439,7226,2463,4696,67
Hendry County,Florida,37870,10185,4751,5355,79
Hernando County,Florida,172718,83667,37830,44938,899
Highlands County,Florida,98222,42444,16148,25915,381
Hillsborough County,Florida,1279639,542102,286467,250186,5449
Holmes County,Florida,19697,8274,1264,6919,91
Indian River County,Florida,140473,71464,27492,43450,522
Jackson County,Florida,49109,20941,7342,13418,181
Jefferson County,Florida,14219,7808,3945,3808,55
Lafayette County,Florida,8791,3399,687,2668,44
Lake County,Florida,303725,150811,61799,87643,1369
Lee County,Florida,644197,266166,110157,154163,1846
Leon County,Florida,283620,148353,90881,55805,1667
Levy County,Florida,39823,18399,6119,12054,226
Liberty County,Florida,8301,3284,942,2301,41
Madison County,Florida,18972,8715,4176,4474,65
Manatee County,Florida,333844,153491,66503,85627,1361
Marion County,Florida,333873,161385,66831,93043,1511
Martin County,Florida,148981,78873,30107,48183,583
Miami-Dade County,Florida,2576554,878314,541440,332981,3893
Monroe County,Florida,74560,39057,19404,19234,419
Nassau County,Florida,74519,40528,10251,29929,348
Okaloosa County,Florida,189762,94798,23421,70168,1209
Okeechobee County,Florida,39710,12324,4856,7328,140
Orange County,Florida,1202498,466359,273665,188589,4105
Osceola County,Florida,288876,108698,67239,40592,867
Palm Beach County,Florida,1354936,600721,349651,247398,3672
Pasco County,Florida,469637,213573,98263,112427,2883
Pinellas County,Florida,921642,457702,239104,213258,5340
Polk County,Florida,615453,248683,114622,131577,2484
Putnam County,Florida,72927,31324,11667,19326,331
St. Johns County,Florida,202066,114795,35190,78513,1092
St. Lucie County,Florida,282931,123027,65869,56202,956
Santa Rosa County,Florida,158190,76846,17768,58186,892
Sarasota County,Florida,386437,207480,95119,110504,1857
Seminole County,Florida,430537,208620,96445,109943,2232
Sumter County,Florida,101669,60479,19524,40646,309
Suwannee County,Florida,43534,17629,4751,12672,206
Taylor County,Florida,22758,9120,2764,6249,107
Union County,Florida,15255,5393,1339,3980,74
Volusia County,Florida,496535,234536,114748,117490,2298
Wakulla County,Florida,30859,14660,5175,9290,195
Walton County,Florida,57190,28494,6671,21490,333
Washington County,Florida,24741,10999,2820,8038,141
Appling County,Georgia,18385,7086,1758,5233,95
Atkinson County,Georgia,8255,2902,930,1938,34
Bacon County,Georgia,11150,3931,791,3093,47
Baker County,Georgia,3372,1589,794,785,10
Baldwin County,Georgia,46510,16238,8483,7589,166
Banks County,Georgia,18131,6195,780,5354,61
Barrow County,Georgia,70135,25199,6028,18725,446
Bartow County,Georgia,100240,35802,8396,26876,530
Ben Hill County,Georgia,17601,5956,2512,3396,48
Berrien County,Georgia,19160,6201,1273,4843,85
Bibb County,Georgia,156606,64718,38585,25623,510
Bleckley County,Georgia,12890,4907,1269,3587,51
Brantley County,Georgia,18532,6002,939,4964,99
Brooks County,Georgia,15617,6742,3138,3554,50
Bryan County,Georgia,32251,13453,3707,9560,186
Bulloch County,Georgia,73102,24085,9593,14174,318
Burke County,Georgia,23048,9779,5405,4301,73
Butts County,Georgia,23438,9381,2968,6306,107
Calhoun County,Georgia,6565,2188,1298,883,7
Camden County,Georgia,51351,17983,6377,11343,263
Candler County,Georgia,11102,3528,1157,2344,27
Carroll County,Georgia,111412,41549,12688,28280,581
Catoosa County,Georgia,64864,23678,5365,17858,455
Charlton County,Georgia,13348,3764,1197,2527,40
Chatham County,Georgia,276164,108628,60246,47204,1178
Chattahoochee County,Georgia,12265,1490,729,735,26
Chattooga County,Georgia,25627,7822,2232,5452,138
Cherokee County,Georgia,220643,98220,19841,76514,1865
Clarke County,Georgia,119891,40368,25431,13815,1122
Clay County,Georgia,3106,1402,862,537,3
Clayton County,Georgia,265294,96067,81479,14164,424
Clinch County,Georgia,6690,2472,852,1598,22
Cobb County,Georgia,706322,310116,133124,171722,5270
Coffee County,Georgia,43124,14454,5057,9248,149
Colquitt County,Georgia,46013,13328,3973,9243,112
Columbia County,Georgia,132541,58923,16451,41765,707
Cook County,Georgia,16904,6031,2042,3935,54
Coweta County,Georgia,130593,55555,15168,39653,734
Crawford County,Georgia,12579,5133,1706,3368,59
Crisp County,Georgia,23589,7396,3167,4182,47
Dade County,Georgia,16518,6020,1411,4471,138
Dawson County,Georgia,22513,10244,1241,8847,156
Decatur County,Georgia,27442,10485,4591,5824,70
DeKalb County,Georgia,710557,306265,238224,64392,3649
Dodge County,Georgia,21517,7733,2442,5214,77
Dooly County,Georgia,14415,4298,2285,1985,28
Dougherty County,Georgia,94694,37919,26295,11449,175
Douglas County,Georgia,133555,55267,28441,26241,585
Early County,Georgia,10640,5353,2765,2557,31
Echols County,Georgia,3967,1102,173,917,12
Effingham County,Georgia,53330,20816,4947,15596,273
Elbert County,Georgia,19576,8143,3181,4859,103
Emanuel County,Georgia,22732,8083,2927,5100,56
Evans County,Georgia,10678,3563,1268,2268,27
Fannin County,Georgia,23615,10017,2028,7857,132
Fayette County,Georgia,107315,58568,19736,38075,757
Floyd County,Georgia,95940,32829,9640,22733,456
Forsyth County,Georgia,186793,81731,14571,65908,1252
Franklin County,Georgia,21916,7762,1499,6114,149
Fulton County,Georgia,973221,397413,255470,137124,4819
Gilmer County,Georgia,28288,11018,1958,8926,134
Glascock County,Georgia,3107,1333,176,1135,22
Glynn County,Georgia,80866,33133,11950,20893,290
Gordon County,Georgia,55687,16897,3440,13197,260
Grady County,Georgia,25270,9396,3419,5924,53
Greene County,Georgia,16118,8323,3201,5071,51
Gwinnett County,Georgia,836844,296728,132509,159855,4364
Habersham County,Georgia,43377,14641,2301,12166,174
Hall County,Georgia,184102,61364,12999,47481,884
Hancock County,Georgia,9079,4088,3308,769,11
Haralson County,Georgia,28310,10376,1789,8446,141
Harris County,Georgia,32570,15488,4145,11197,146
Hart County,Georgia,25513,9511,2870,6517,124
Heard County,Georgia,11652,4172,948,3160,64
Henry County,Georgia,208005,91378,43761,46774,843
Houston County,Georgia,145827,58056,22702,34662,692
Irwin County,Georgia,9597,3709,1141,2538,30
Jackson County,Georgia,60844,23704,4238,19135,331
Jasper County,Georgia,13640,6031,1845,4136,50
Jeff Davis County,Georgia,15192,5336,1275,3996,65
Jefferson County,Georgia,16347,7298,4261,2999,38
Jenkins County,Georgia,9108,3390,1488,1887,15
Johnson County,Georgia,10004,3772,1305,2440,27
Jones County,Georgia,28624,12105,4274,7744,87
Lamar County,Georgia,18030,7592,2602,4899,91
Lanier County,Georgia,10466,2972,1114,1820,38
Laurens County,Georgia,47842,19604,7513,11950,141
Lee County,Georgia,28708,13628,3196,10314,118
Liberty County,Georgia,64412,16170,10457,5565,148
Lincoln County,Georgia,7764,4426,1586,2807,33
Long County,Georgia,15994,3802,1442,2306,54
Lowndes County,Georgia,114071,39137,17470,21327,340
Lumpkin County,Georgia,30686,10905,2055,8647,203
McDuffie County,Georgia,21630,9592,4044,5475,73
McIntosh County,Georgia,13883,6341,2864,3409,68
Macon County,Georgia,14301,4781,3211,1545,25
Madison County,Georgia,28070,11104,2494,8443,167
Marion County,Georgia,8672,3170,1412,1733,25
Meriwether County,Georgia,21335,9264,4331,4856,77
Miller County,Georgia,6004,2775,852,1905,18
Mitchell County,Georgia,23086,8275,4081,4155,39
Monroe County,Georgia,26373,12277,3785,8361,131
Montgomery County,Georgia,8887,3832,1135,2662,35
Morgan County,Georgia,17809,9027,2753,6186,88
Murray County,Georgia,39311,11217,2542,8443,232
Muscogee County,Georgia,198965,70603,42573,27510,520
Newton County,Georgia,100956,43234,21851,20982,401
Oconee County,Georgia,33514,17817,4421,13098,298
Oglethorpe County,Georgia,14509,6273,1914,4251,108
Paulding County,Georgia,144738,57399,15825,40846,728
Peach County,Georgia,27765,11516,6148,5287,81
Pickens County,Georgia,29260,12680,1975,10547,158
Pierce County,Georgia,18905,6846,1124,5667,55
Pike County,Georgia,17770,8109,1356,6668,85
Polk County,Georgia,41101,13608,3615,9811,182
Pulaski County,Georgia,11699,3682,1219,2444,19
Putnam County,Georgia,21133,9222,2926,6215,81
Quitman County,Georgia,2406,1128,612,510,6
Rabun County,Georgia,16304,7463,1559,5754,150
Randolph County,Georgia,7308,3058,1770,1271,17
Richmond County,Georgia,201742,79020,52560,25845,615
Rockdale County,Georgia,85427,38085,22023,15716,346
Schley County,Georgia,5024,1748,448,1286,14
Screven County,Georgia,14168,6100,2774,3287,39
Seminole County,Georgia,8871,3769,1478,2245,46
Spalding County,Georgia,63691,25088,9898,14911,279
Stephens County,Georgia,25703,9498,2131,7221,146
Stewart County,Georgia,6109,2076,1323,745,8
Sumter County,Georgia,31582,11831,6375,5378,78
Talbot County,Georgia,6640,3491,2265,1202,24
Taliaferro County,Georgia,1674,963,636,323,4
Tattnall County,Georgia,25463,6667,1897,4706,64
Taylor County,Georgia,8361,3538,1572,1948,18
Telfair County,Georgia,16367,4336,1805,2480,51
Terrell County,Georgia,9225,4398,2544,1834,20
Thomas County,Georgia,44528,18953,7653,11156,144
Tift County,Georgia,40945,13927,4660,9185,82
Toombs County,Georgia,27168,9344,2746,6524,74
Towns County,Georgia,10563,6211,1273,4876,62
Treutlen County,Georgia,6789,2750,1074,1652,24
Troup County,Georgia,68282,25986,10547,15179,260
Turner County,Georgia,8445,3559,1510,2028,21
Twiggs County,Georgia,8552,4202,2270,1907,25
Union County,Georgia,21328,11079,2139,8773,167
Upson County,Georgia,26562,11263,3959,7230,74
Walker County,Georgia,68452,21896,5274,16247,375
Walton County,Georgia,84975,37612,8148,29036,428
Ware County,Georgia,35893,11939,3900,7941,98
Warren County,Georgia,5544,2526,1529,990,7
Washington County,Georgia,20790,8808,4714,4035,59
Wayne County,Georgia,30320,10269,2596,7557,116
Webster County,Georgia,2765,1187,582,601,4
Wheeler County,Georgia,7933,2160,772,1366,22
White County,Georgia,27626,10488,1671,8651,166
Whitfield County,Georgia,102948,26876,7210,19305,361
Wilcox County,Georgia,9074,3129,1060,2053,16
Wilkes County,Georgia,10086,4761,2087,2635,39
Wilkinson County,Georgia,9484,4450,2181,2246,23
Worth County,Georgia,21349,8419,2487,5869,63
Hawaii County,Hawaii,189161,63454,47224,14753,1477
Honolulu County,Hawaii,977994,296742,204349,88461,3932
Kauai County,Hawaii,68671,25372,18641,6121,610
Maui County,Hawaii,158889,48653,36052,11602,999
Ada County,Idaho,408862,180546,77137,97554,5855
Adams County,Idaho,3908,2060,577,1413,70
Bannock County,Idaho,83755,35260,13214,21010,1036
Bear Lake County,Idaho,5892,2822,302,2489,31
Benewah County,Idaho,9126,3884,1164,2596,124
Bingham County,Idaho,45510,17603,3822,13440,341
Blaine County,Idaho,21127,10194,5992,3939,263
Boise County,Idaho,6790,3445,1053,2284,108
Bonner County,Idaho,40347,18536,6500,11367,669
Bonneville County,Idaho,106764,43213,9903,32276,1034
Boundary County,Idaho,10817,4544,1225,3138,181
Butte County,Idaho,2760,1286,258,1001,27
Camas County,Idaho,1085,578,159,402,17
Canyon County,Idaho,193734,66090,19866,44369,1855
Caribou County,Idaho,6771,3052,386,2608,58
Cassia County,Idaho,23263,8396,1098,7154,144
Clark County,Idaho,884,328,66,235,27
Clearwater County,Idaho,8579,3696,1032,2541,123
Custer County,Idaho,4327,2352,530,1744,78
Elmore County,Idaho,26287,8001,2513,5227,261
Franklin County,Idaho,12798,5600,325,5195,80
Fremont County,Idaho,12966,5802,810,4907,85
Gem County,Idaho,16630,7490,1957,5311,222
Gooding County,Idaho,15250,5118,1287,3696,135
Idaho County,Idaho,16444,7837,1708,5921,208
Jefferson County,Idaho,26641,11381,1303,9895,183
Jerome County,Idaho,22578,6681,1699,4804,178
Kootenai County,Idaho,142084,59828,18851,39381,1596
Latah County,Idaho,38094,16759,8306,7589,864
Lemhi County,Idaho,7768,4110,960,3029,121
Lewis County,Idaho,3820,1614,396,1173,45
Lincoln County,Idaho,5262,1662,469,1141,52
Madison County,Idaho,37662,14412,832,13445,135
Minidoka County,Idaho,20152,6973,1390,5442,141
Nez Perce County,Idaho,39504,16848,6451,9967,430
Oneida County,Idaho,4225,2089,217,1838,34
Owyhee County,Idaho,11409,3724,833,2794,97
Payette County,Idaho,22675,8495,2271,6004,220
Power County,Idaho,7830,2903,982,1870,51
Shoshone County,Idaho,12703,5148,2277,2699,172
