County,State,Population,Total Votes,Democrats,Republican,Other
Autauga County,Alabama,54954,23932,6363,17379,190
Baldwin County,Alabama,190145,85338,18424,66016,898
Barbour County,Alabama,27169,11509,5912,5550,47
Bibb County,Alabama,22667,8420,2202,6132,86
Blount County,Alabama,57580,24006,2970,20757,279
Bullock County,Alabama,10606,5322,4061,1251,10
Butler County,Alabama,20670,9496,4374,5087,35
Calhoun County,Alabama,117190,46257,15511,30278,468
Chambers County,Alabama,34104,14611,6871,7626,114
Cherokee County,Alabama,25958,9779,2132,7506,141
Chilton County,Alabama,43582,17462,3397,13932,133
Choctaw County,Alabama,13563,7968,3786,4152,30
Clarke County,Alabama,25155,13851,6334,7470,47
Clay County,Alabama,13434,6662,1777,4817,68
Cleburne County,Alabama,14889,6305,971,5272,62
Coffee County,Alabama,51141,19770,4925,14666,179
Colbert County,Alabama,54570,23385,9166,13936,283
Conecuh County,Alabama,13046,7022,3555,3439,28
Coosa County,Alabama,11346,5269,2191,3049,29
Covington County,Alabama,37805,15423,3158,12153,112
Crenshaw County,Alabama,13915,6418,2050,4331,37
Cullman County,Alabama,80279,34457,5052,28999,406
Dale County,Alabama,50289,18557,5286,13108,163
Dallas County,Alabama,42789,20953,14612,6288,53
DeKalb County,Alabama,70944,23863,5239,18331,293
Elmore County,Alabama,80193,35485,8954,26253,278
Escambia County,Alabama,38023,14869,5489,9287,93
Etowah County,Alabama,104278,42530,12803,29130,597
Fayette County,Alabama,16945,7946,1817,6054,75
Franklin County,Alabama,31690,10859,3171,7567,121
Geneva County,Alabama,26924,11320,2039,9175,106
Greene County,Alabama,8848,5340,4521,804,15
Hale County,Alabama,15364,8643,5411,3210,22
Henry County,Alabama,17153,8760,3083,5628,49
Houston County,Alabama,103371,41918,12367,29270,281
Jackson County,Alabama,53079,20577,5822,14439,316
Jefferson County,Alabama,658061,303918,159876,141683,2359
Lamar County,Alabama,14248,7166,1646,5457,63
Lauderdale County,Alabama,92662,36924,12511,23911,502
Lawrence County,Alabama,33806,14112,5069,8874,169
Lee County,Alabama,148567,54359,21381,32194,784
Limestone County,Alabama,87326,35459,9829,25295,335
Lowndes County,Alabama,10851,7521,5747,1756,18
Macon County,Alabama,20608,10394,9045,1331,18
Madison County,Alabama,342730,155059,62015,90884,2160
Marengo County,Alabama,20375,11537,6167,5336,34
Marion County,Alabama,30484,12105,2249,9697,159
Marshall County,Alabama,94260,32566,6299,25867,400
Mobile County,Alabama,413816,174864,78760,94893,1211
Monroe County,Alabama,22581,10708,4914,5741,53
Montgomery County,Alabama,228874,101924,63085,38332,507
Morgan County,Alabama,120102,49323,13439,35391,493
Perry County,Alabama,10163,6099,4568,1506,25
Pickens County,Alabama,19309,9611,4455,5124,32
Pike County,Alabama,33215,14107,6035,7963,109
Randolph County,Alabama,22533,10398,3078,7224,96
Russell County,Alabama,57500,18879,10500,8278,101
St. Clair County,Alabama,84761,35148,5801,29031,316
Shelby County,Alabama,200912,92507,20051,71436,1020
Sumter County,Alabama,13440,7027,5421,1586,20
Talladega County,Alabama,82146,33373,13905,19246,222
Tallapoosa County,Alabama,41048,18829,6319,12396,114
Tuscaloosa County,Alabama,198807,78590,32048,45748,794
Walker County,Alabama,66104,28521,6557,21651,313
Washington County,Alabama,17146,8778,2976,5761,41
Wilcox County,Alabama,11302,6551,4868,1679,4
Winston County,Alabama,24193,9714,1286,8312,116
Apache County,Arizona,72229,25848,17147,8250,451
Cochise County,Arizona,132017,49003,18546,29497,960
Coconino County,Arizona,136146,51731,29257,21220,1254
Gila County,Arizona,52994,21528,7697,13455,376
Graham County,Arizona,37015,11855,3609,8076,170
Greenlee County,Arizona,8764,2974,1310,1592,72
La Paz County,Arizona,20521,5717,1880,3714,123
Maricopa County,Arizona,3947505,1376558,602288,749885,24385
Mohave County,Arizona,203347,70010,19533,49168,1309
Navajo County,Arizona,107313,37335,16945,19884,506
Pima County,Arizona,993052,382250,201251,174779,6220
Pinal County,Arizona,382251,108315,44306,62079,1930
Santa Cruz County,Arizona,47359,13894,9486,4235,173
Yavapai County,Arizona,211990,100283,33918,64468,1897
Yuma County,Arizona,202475,41953,18059,23352,542
Arkansas County,Arkansas,18964,6494,2455,3897,142
Ashley County,Arkansas,21515,7921,2859,4867,195
Baxter County,Arkansas,41080,19339,5172,13688,479
Benton County,Arkansas,234938,79257,22636,54646,1975
Boone County,Arkansas,37333,15391,3772,11159,460
Bradley County,Arkansas,11266,3652,1449,2134,69
Calhoun County,Arkansas,5278,2174,660,1458,56
Carroll County,Arkansas,27623,10183,3696,6125,362
Chicot County,Arkansas,11498,4361,2649,1670,42
Clark County,Arkansas,22755,8409,3811,4343,255
Clay County,Arkansas,15710,5110,1738,3225,147
Cleburne County,Arkansas,25763,11647,2620,8693,334
Cleveland County,Arkansas,8609,3266,845,2313,108
Columbia County,Arkansas,24413,9455,3557,5790,108
Conway County,Arkansas,21141,7730,3005,4514,211
Craighead County,Arkansas,99993,31700,10527,20350,823
Crawford County,Arkansas,61911,20591,4881,15145,565
Crittenden County,Arkansas,50077,16716,9487,6998,231
Cross County,Arkansas,17703,6681,2279,4269,133
Dallas County,Arkansas,7952,3084,1337,1665,82
Desha County,Arkansas,12590,4420,2443,1896,81
Drew County,Arkansas,18788,6633,2630,3887,116
Faulkner County,Arkansas,118523,41460,13621,26722,1117
Franklin County,Arkansas,17959,6540,1726,4631,183
Fulton County,Arkansas,12169,4522,1452,2949,121
Garland County,Arkansas,96986,40728,13804,26014,910
Grant County,Arkansas,18038,6479,1468,4829,182
Greene County,Arkansas,43229,13761,4000,9071,690
Hempstead County,Arkansas,22344,6921,2468,4284,169
Hot Spring County,Arkansas,33507,11260,3830,7097,333
Howard County,Arkansas,13675,4462,1471,2892,99
Independence County,Arkansas,36953,12397,3281,8728,388
Izard County,Arkansas,13541,5278,1524,3575,179
Jackson County,Arkansas,17680,5347,2095,3072,180
Jefferson County,Arkansas,74634,27383,17470,9520,393
Johnson County,Arkansas,25914,8098,2799,5064,235
Lafayette County,Arkansas,7450,2929,1173,1713,43
Lawrence County,Arkansas,17040,5540,1788,3536,216
Lee County,Arkansas,10184,3424,2107,1280,37
Lincoln County,Arkansas,14180,3726,1425,2199,102
Little River County,Arkansas,12916,5051,1552,3385,114
Logan County,Arkansas,21928,7331,2009,5079,243
Lonoke County,Arkansas,70109,24114,5625,17880,609
Madison County,Arkansas,15597,6568,2099,4263,206
