County,State,Population,Total Votes,Democrats,Republican,Other
Mississippi County,Arkansas,42900,13204,5670,7061,473
Monroe County,Arkansas,7205,2884,1312,1489,83
Montgomery County,Arkansas,8936,3559,748,2643,168
Nevada County,Arkansas,8378,3246,1157,2000,89
Newton County,Arkansas,7848,3753,699,2875,179
Ouachita County,Arkansas,24013,9935,4321,5351,263
Perry County,Arkansas,10286,4306,1049,3008,249
Phillips County,Arkansas,19050,6953,4310,2446,197
Pike County,Arkansas,10826,3981,685,3150,146
Poinsett County,Arkansas,23974,7722,1880,5502,340
Polk County,Arkansas,20145,8231,1212,6618,401
Pope County,Arkansas,63897,22569,5000,16256,1313
Prairie County,Arkansas,8252,3444,814,2505,125
Pulaski County,Arkansas,394151,159776,89574,61257,8945
Randolph County,Arkansas,17444,6379,1425,4509,445
St. Francis County,Arkansas,26347,7430,4031,3195,204
Saline County,Arkansas,117656,52100,13256,35863,2981
Scott County,Arkansas,10332,3510,602,2731,177
Searcy County,Arkansas,7968,3728,601,2955,172
Sebastian County,Arkansas,127385,44637,12300,29127,3210
Sevier County,Arkansas,16971,4562,1075,3282,205
Sharp County,Arkansas,17007,7249,1472,5407,370
Stone County,Arkansas,12509,5618,1203,4113,302
Union County,Arkansas,39879,16894,5855,10456,583
Van Buren County,Arkansas,16669,7339,1549,5382,408
Washington County,Arkansas,228482,81861,33366,41476,7019
White County,Arkansas,78917,27219,5170,21077,972
Woodruff County,Arkansas,6600,2571,1118,1347,106
Yell County,Arkansas,21502,6439,1480,4608,351
Alameda County,California,1650950,654266,514842,95922,43502
Alpine County,California,1047,602,334,217,51
Amador County,California,37429,17734,6004,10485,1245
Butte County,California,226231,95564,41567,45144,8853
Calaveras County,California,45322,23136,7944,13511,1681
Colusa County,California,21496,6632,2661,3551,420
Contra Costa County,California,1137268,466175,319287,115956,30932
Del Norte County,California,27382,9558,3485,5134,939
El Dorado County,California,185976,93591,36404,49247,7940
Fresno County,California,976830,282319,141341,124049,16929
Glenn County,California,27840,9470,3065,5788,617
Humboldt County,California,136290,59246,33200,18373,7673
Imperial County,California,180179,48091,32667,12704,2720
Inyo County,California,17922,8086,3155,4248,683
Kern County,California,880856,244163,98689,129584,15890
Kings County,California,149382,33915,13617,18093,2205
Lake County,California,63903,24496,11496,10599,2401
Lassen County,California,30721,10524,2224,7574,726
Los Angeles County,California,10105708,3434308,2464364,769743,200201
Madera County,California,153956,43112,17029,23357,2726
Marin County,California,260562,139273,108707,21771,8795
Mariposa County,California,17456,8877,3122,5185,570
Mendocino County,California,87285,37477,22079,10888,4510
Merced County,California,267628,70789,37317,28725,4747
Modoc County,California,8961,3788,877,2696,215
Mono County,California,14273,5276,2773,2111,392
Monterey County,California,433953,133408,89088,34895,9425
Napa County,California,140840,61372,39199,17411,4762
Nevada County,California,98913,54935,26053,23365,5517
Orange County,California,3164986,1197521,609961,507148,80412
Placer County,California,378943,182839,73509,95138,14192
Plumas County,California,18665,9676,3459,5420,797
Riverside County,California,2380081,751391,373695,333243,44453
Sacramento County,California,1510987,559330,326023,189789,43518
San Benito County,California,59225,21924,12521,7841,1562
San Bernardino County,California,2131960,653983,340833,271240,41910
San Diego County,California,3306089,1306400,735476,477766,93158
San Francisco County,California,871512,405792,345084,37688,23020
San Joaquin County,California,732809,224166,121124,88936,14106
San Luis Obispo County,California,281803,135009,67107,56164,11738
San Mateo County,California,767906,314384,237882,57929,18573
Santa Barbara County,California,444340,176786,107142,56365,13279
Santa Clara County,California,1928368,703709,511684,144826,47199
Santa Cruz County,California,274396,128821,95249,22438,11134
Shasta County,California,178571,80053,22301,51778,5974
Sierra County,California,2951,1830,601,1048,181
Siskiyou County,California,43376,20492,7234,11341,1917
Solano County,California,438858,166113,102360,51920,11833
Sonoma County,California,502547,231253,160435,51408,19410
Stanislaus County,California,539255,172146,81647,78494,12005
Sutter County,California,95742,33523,13076,18176,2271
Tehama County,California,63453,23908,6809,15494,1605
Trinity County,California,12828,5686,2214,2812,660
Tulare County,California,459235,112334,47585,58299,6450
Tuolumne County,California,53770,25529,9123,14551,1855
Ventura County,California,847323,351726,194402,132323,25001
Yolo County,California,215627,82090,54752,20739,6599
Yuba County,California,74952,22998,7910,13170,1918
Adams County,Colorado,497734,193665,96558,80082,17025
Alamosa County,Colorado,16053,6939,3189,3046,704
Arapahoe County,Colorado,638950,303046,159885,117053,26108
Archuleta County,Colorado,12825,7339,2500,4264,575
Baca County,Colorado,3530,2153,283,1753,117
Bent County,Colorado,5833,1927,590,1188,149
Boulder County,Colorado,321250,188142,132334,41396,14412
Broomfield County,Colorado,66513,37689,19731,14367,3591
Chaffee County,Colorado,19110,11250,4888,5391,971
Cheyenne County,Colorado,1850,1102,132,925,45
Clear Creek County,Colorado,9353,5866,2729,2575,562
Conejos County,Colorado,8050,4022,1771,1914,337
Costilla County,Colorado,3693,1848,1125,588,135
Crowley County,Colorado,5285,1527,339,1079,109
Custer County,Colorado,4588,3066,797,2061,208
Delta County,Colorado,30346,16790,4087,11655,1048
Denver County,Colorado,696159,331852,244551,62690,24611
Dolores County,Colorado,2056,1255,242,944,69
Douglas County,Colorado,328219,187499,68657,102573,16269
Eagle County,Colorado,54541,25223,14099,8990,2134
Elbert County,Colorado,25157,15978,3134,11705,1139
El Paso County,Colorado,688277,318967,108010,179228,31729
Fremont County,Colorado,46976,21973,5297,15122,1554
Garfield County,Colorado,58785,26470,11271,13132,2067
Gilpin County,Colorado,5914,3576,1634,1566,376
Grand County,Colorado,15179,8588,3358,4494,736
Gunnison County,Colorado,16414,9412,5128,3289,995
Hinsdale County,Colorado,788,589,197,339,53
Huerfano County,Colorado,6580,3783,1633,1883,267
Jackson County,Colorado,1358,861,171,629,61
Jefferson County,Colorado,571413,328882,160776,138177,29929
Kiowa County,Colorado,1342,855,91,728,36
Kit Carson County,Colorado,7626,3702,536,2967,199
Lake County,Colorado,7590,3199,1616,1270,313
La Plata County,Colorado,55316,31150,15525,12587,3038
Larimer County,Colorado,338984,195980,93113,83430,19437
Las Animas County,Colorado,14073,6793,2650,3710,433
Lincoln County,Colorado,5551,2436,409,1892,135
Logan County,Colorado,22435,9722,1851,7282,589
Mesa County,Colorado,149736,77653,21729,49779,6145
Mineral County,Colorado,756,652,237,344,71
Moffat County,Colorado,13144,6525,874,5305,346
Montezuma County,Colorado,25994,12858,3973,7853,1032
Montrose County,Colorado,41151,21186,5466,14382,1338
Morgan County,Colorado,28199,11960,3151,8145,664
Otero County,Colorado,18266,8452,2943,4928,581
Ouray County,Colorado,4789,3310,1697,1351,262
Park County,Colorado,17343,10417,3421,6135,861
Phillips County,Colorado,4280,2332,436,1791,105
Pitkin County,Colorado,17975,10523,7333,2550,640
Prowers County,Colorado,11926,5016,1186,3531,299
Pueblo County,Colorado,164774,78646,35875,36265,6506
Rio Blanco County,Colorado,6436,3450,436,2791,223
Rio Grande County,Colorado,11337,5534,2001,3085,448
Routt County,Colorado,24682,13986,7600,5230,1156
Saguache County,Colorado,6412,2835,1417,1147,271
San Juan County,Colorado,691,506,265,215,26
San Miguel County,Colorado,8017,4329,2975,1033,321
Sedgwick County,Colorado,2400,1364,267,1015,82
Summit County,Colorado,30552,16174,9557,5100,1517
Teller County,Colorado,24058,14444,3603,9745,1096
Washington County,Colorado,4834,2733,296,2299,138
Weld County,Colorado,295712,135428,46519,76651,12258
Yuma County,Colorado,10055,4791,726,3850,215
Fairfield County,Connecticut,944347,421209,243852,160077,17280
Hartford County,Connecticut,894141,406864,240403,148173,18288
Litchfield County,Connecticut,182793,97442,39775,53051,4616
Middlesex County,Connecticut,163292,88624,45357,38867,4400
New Haven County,Connecticut,857901,379006,205609,159048,14349
New London County,Connecticut,268403,123528,62278,54058,7192
Tolland County,Connecticut,151162,77424,38506,34194,4724
Windham County,Connecticut,116102,50823,21792,25747,3284
Kent County,Delaware,174542,74598,33351,36991,4256
New Castle County,Delaware,555058,262391,162919,85525,13947
Sussex County,Delaware,219321,106008,39333,62611,4064
District of Columbia,District of Columbia,685815,311268,282830,12723,15715
Alachua County,Florida,263959,128571,75820,46834,5917
Baker County,Florida,27884,12634,2112,10294,228
Bay County,Florida,183634,87453,21797,62194,3462
Bradford County,Florida,26740,12098,2924,8913,261
Brevard County,Florida,576874,314752,119679,181848,13225
Broward County,Florida,1912583,831951,553320,260951,17680
Calhoun County,Florida,14330,6081,1241,4655,185
Charlotte County,Florida,177671,96374,33445,60218,2711
Citrus County,Florida,142804,79700,22789,54456,2455
Clay County,Florida,207246,106483,27822,74963,3698
Collier County,Florida,365445,170789,61085,105423,4281
Columbia County,Florida,69265,28707,7601,20368,738
DeSoto County,Florida,36255,10818,3781,6778,259
Dixie County,Florida,16465,7202,1270,5822,110
Duval County,Florida,926010,432695,205704,211672,15319
Escambia County,Florida,311473,152469,57461,88808,6200
Flagler County,Florida,107406,57503,22026,33850,1627
Franklin County,Florida,11823,6015,1744,4125,146
Gadsden County,Florida,46086,22113,15020,6728,365
Gilchrist County,Florida,17622,8420,1458,6740,222
Glades County,Florida,13406,4353,1271,2996,86
Gulf County,Florida,16062,7293,1720,5329,244
Hamilton County,Florida,14303,5460,1904,3443,113
Hardee County,Florida,27219,7583,2149,5242,192
Hendry County,Florida,40037,11115,4615,6195,305
Hernando County,Florida,182459,93796,31795,58970,3031
Highlands County,Florida,102041,45686,14937,29565,1184
Hillsborough County,Florida,1396693,597660,307896,266870,22894
Holmes County,Florida,19398,8514,853,7483,178
Indian River County,Florida,151159,80009,29043,48620,2346
Jackson County,Florida,48299,21041,6397,14257,387
Jefferson County,Florida,13960,7645,3541,3930,174
Lafayette County,Florida,8747,3392,518,2809,65
Lake County,Florida,334913,170462,62838,102188,5436
Lee County,Florida,722649,326420,124908,191551,9961
Leon County,Florida,286744,152132,92068,53821,6243
Levy County,Florida,39837,19395,5101,13775,519
Liberty County,Florida,8300,3296,651,2543,102
Madison County,Florida,18316,8505,3526,4851,128
Manatee County,Florida,375373,178958,71224,101944,5790
Marion County,Florida,347469,174700,62041,107833,4826
Martin County,Florida,158325,85792,30185,53204,2403
Miami-Dade County,Florida,2692213,980204,624146,333999,22059
Monroe County,Florida,76872,42478,18971,21904,1603
Nassau County,Florida,80055,46607,10869,34266,1472
Okaloosa County,Florida,200071,100855,23780,71893,5182
Okeechobee County,Florida,40769,13653,3959,9356,338
Orange County,Florida,1326516,546275,329894,195216,21165
Osceola County,Florida,338209,140206,85458,50301,4447
Palm Beach County,Florida,1450890,662332,374673,272402,15257
Pasco County,Florida,509937,241139,90142,142101,8896
Pinellas County,Florida,959874,492403,233701,239201,19501
Polk County,Florida,665823,284314,117433,157430,9451
Putnam County,Florida,72373,33117,10094,22138,885
St. Johns County,Florida,234828,136514,43099,88684,4731
St. Lucie County,Florida,305566,140847,66881,70289,3677
Santa Rosa County,Florida,169894,87745,18464,65339,3942
Sarasota County,Florida,412968,229063,97870,124438,6755
Seminole County,Florida,455945,224896,105914,109443,9539
Sumter County,Florida,122009,76665,22638,52730,1297
Suwannee County,Florida,43834,18694,3964,14287,443
Taylor County,Florida,22099,9290,2152,6930,208
Union County,Florida,15238,5694,1014,4568,112
Volusia County,Florida,528453,260869,109091,143007,8771
Wakulla County,Florida,31882,15351,4348,10512,491
Walton County,Florida,65421,33637,6876,25756,1005
Washington County,Florida,24454,11156,2264,8637,255
Appling County,Georgia,18428,7012,1434,5494,84
Atkinson County,Georgia,8244,2610,697,1878,35
Bacon County,Georgia,11275,4020,608,3364,48
Baker County,Georgia,3183,1440,650,775,15
Baldwin County,Georgia,45259,16116,7970,7697,449
Banks County,Georgia,18325,6975,684,6134,157
Barrow County,Georgia,77000,29060,6580,21108,1372
Bartow County,Georgia,103338,39550,8212,29911,1427
Ben Hill County,Georgia,17251,5936,2101,3739,96
Berrien County,Georgia,18996,6590,1047,5422,121
Bibb County,Georgia,153152,62596,36787,24043,1766
Bleckley County,Georgia,12864,4974,1101,3719,154
Brantley County,Georgia,18415,6301,619,5567,115
Brooks County,Georgia,15725,6336,2528,3701,107
Bryan County,Georgia,35839,15173,4014,10529,630
Bulloch County,Georgia,74642,25316,9261,15097,958
Burke County,Georgia,22601,9351,4731,4491,129
Butts County,Georgia,23736,9514,2566,6717,231
Calhoun County,Georgia,6359,2025,1179,830,16
Camden County,Georgia,52394,18901,5930,12310,661
Candler County,Georgia,10849,3763,1026,2664,73
Carroll County,Georgia,116077,44121,12464,30029,1628
Catoosa County,Georgia,66265,26757,4771,20876,1110
Charlton County,Georgia,12842,4016,1004,2951,61
Chatham County,Georgia,288615,112142,62290,45688,4164
Chattahoochee County,Georgia,10047,1390,594,751,45
Chattooga County,Georgia,24836,8252,1613,6462,177
Cherokee County,Georgia,241795,112043,25231,80649,6163
Clarke County,Georgia,124905,44976,29603,12717,2656
Clay County,Georgia,3005,1273,697,566,10
Clayton County,Georgia,279333,92859,78220,12645,1994
Clinch County,Georgia,6742,2455,686,1727,42
Cobb County,Georgia,748178,330819,160121,152912,17786
Coffee County,Georgia,42908,13915,4094,9588,233
Colquitt County,Georgia,45429,13624,3463,9898,263
Columbia County,Georgia,147370,64743,18887,43085,2771
Cook County,Georgia,17162,6057,1753,4176,128
Coweta County,Georgia,140497,61745,16583,42533,2629
Crawford County,Georgia,12268,5176,1421,3635,120
Crisp County,Georgia,22905,7512,2837,4549,126
Dade County,Georgia,16224,6242,965,5051,226
Dawson County,Georgia,23668,11765,1448,9900,417
Decatur County,Georgia,26679,10286,4124,6020,142
DeKalb County,Georgia,746802,314757,251370,51468,11919
Dodge County,Georgia,20854,7009,1839,5021,149
Dooly County,Georgia,13853,3859,1872,1951,36
Dougherty County,Georgia,90389,34087,23311,10232,544
Douglas County,Georgia,141664,57738,31005,24817,1916
Early County,Georgia,10306,4785,2168,2552,65
Echols County,Georgia,3956,1182,156,1007,19
Effingham County,Georgia,58699,23458,4853,17874,731
Elbert County,Georgia,19136,7987,2539,5292,156
Emanuel County,Georgia,22406,7860,2435,5335,90
Evans County,Georgia,10648,3613,1130,2404,79
Fannin County,Georgia,25032,11812,1923,9632,257
Fayette County,Georgia,111218,60913,23284,35048,2581
Floyd County,Georgia,96698,34608,9159,24114,1335
Forsyth County,Georgia,220481,98221,23462,69851,4908
Franklin County,Georgia,22316,8502,1243,7054,205
Fulton County,Georgia,1022866,431391,297051,117783,16557
Gilmer County,Georgia,29911,12773,1965,10477,331
Glascock County,Georgia,2978,1390,138,1235,17
Glynn County,Georgia,84099,34263,11775,21512,976
Gordon County,Georgia,56933,18959,3181,15191,587
Grady County,Georgia,24869,9213,3013,6053,147
Greene County,Georgia,16869,8852,3199,5490,163
Gwinnett County,Georgia,904962,328331,166153,146989,15189
Habersham County,Georgia,44104,16243,2483,13190,570
Hall County,Georgia,196159,70694,16180,51733,2781
Hancock County,Georgia,8633,3580,2701,843,36
Haralson County,Georgia,28830,11357,1475,9585,297
Harris County,Georgia,33633,16502,4086,11936,480
Hart County,Georgia,25471,10117,2585,7286,246
Heard County,Georgia,11579,4223,743,3370,110
Henry County,Georgia,220896,98766,50057,45724,2985
Houston County,Georgia,151622,60079,22553,35430,2096
Irwin County,Georgia,9302,3670,891,2716,63
Jackson County,Georgia,65061,27190,4491,21784,915
Jasper County,Georgia,13767,6045,1544,4360,141
Jeff Davis County,Georgia,14965,5096,901,4104,91
Jefferson County,Georgia,15755,6968,3821,3063,84
Jenkins County,Georgia,8812,3056,1123,1895,38
Johnson County,Georgia,9660,3686,1136,2519,31
Jones County,Georgia,28574,12551,3961,8305,285
Lamar County,Georgia,18484,7612,2270,5190,152
Lanier County,Georgia,10430,2871,806,1984,81
Laurens County,Georgia,47279,19530,6752,12411,367
Lee County,Georgia,29184,14143,3170,10646,327
Liberty County,Georgia,61473,16143,9556,6134,453
Lincoln County,Georgia,7855,4102,1273,2759,70
Long County,Georgia,18372,4117,1360,2626,131
Lowndes County,Georgia,114360,37805,15064,21635,1106
Lumpkin County,Georgia,31415,12425,2220,9619,586
McDuffie County,Georgia,21456,9268,3699,5432,137
McIntosh County,Georgia,14057,5903,2303,3487,113
Macon County,Georgia,13478,4287,2705,1540,42
Madison County,Georgia,28856,11998,2425,9201,372
Marion County,Georgia,8468,3190,1213,1921,56
Meriwether County,Georgia,21074,9217,3804,5222,191
Miller County,Georgia,5874,2544,623,1891,30
Mitchell County,Georgia,22455,7880,3493,4279,108
Monroe County,Georgia,26905,12687,3571,8832,284
Montgomery County,Georgia,8985,3576,847,2670,59
Morgan County,Georgia,18107,9475,2663,6559,253
Murray County,Georgia,39347,12458,1800,10341,317
Muscogee County,Georgia,196219,69032,39851,26976,2205
Newton County,Georgia,106499,43987,21943,20913,1131
Oconee County,Georgia,36929,20149,5581,13425,1143
Oglethorpe County,Georgia,14712,6674,1831,4625,218
Paulding County,Georgia,155246,64890,18025,44662,2203
Peach County,Georgia,26885,10752,5100,5413,239
Pickens County,Georgia,30652,14038,1979,11651,408
Pierce County,Georgia,19104,7311,903,6302,106
Pike County,Georgia,17897,8725,1240,7278,207
Polk County,Georgia,41555,14215,2867,11014,334
Pulaski County,Georgia,11288,3605,1104,2437,64
Putnam County,Georgia,21515,9488,2758,6544,186
Quitman County,Georgia,2320,1044,461,575,8
Rabun County,Georgia,16465,7992,1444,6287,261
Randolph County,Georgia,7155,2899,1598,1271,30
Richmond County,Georgia,201949,75515,48814,24461,2240
Rockdale County,Georgia,88987,37869,23255,13478,1136
Schley County,Georgia,5173,1909,401,1472,36
Screven County,Georgia,14003,5715,2300,3305,110
Seminole County,Georgia,8427,3588,1189,2345,54
Spalding County,Georgia,64546,25704,9357,15646,701
Stephens County,Georgia,25637,9815,1837,7686,292
Stewart County,Georgia,6122,2058,1222,805,31
Sumter County,Georgia,30403,10974,5520,5276,178
Talbot County,Georgia,6366,3246,2002,1196,48
Taliaferro County,Georgia,1611,897,545,349,3
Tattnall County,Georgia,25342,6903,1681,5096,126
Taylor County,Georgia,8189,3408,1296,2064,48
Telfair County,Georgia,15962,3796,1313,2450,33
Terrell County,Georgia,8861,4189,2267,1874,48
Thomas County,Georgia,44950,18802,7142,11228,432
Tift County,Georgia,40554,14219,4347,9584,288
Toombs County,Georgia,27121,9138,2338,6615,185
Towns County,Georgia,11419,6764,1210,5383,171
Treutlen County,Georgia,6710,2703,862,1809,32
Troup County,Georgia,69939,26111,9713,15750,648
Turner County,Georgia,7944,3398,1246,2095,57
Twiggs County,Georgia,8249,4059,1971,2035,53
Union County,Georgia,22640,12063,1963,9852,248
Upson County,Georgia,26245,10934,3475,7292,167
Walker County,Georgia,68455,23956,4215,18950,791
Walton County,Georgia,89786,40698,8292,31125,1281
Ware County,Georgia,35648,12184,3440,8513,231
Warren County,Georgia,5345,2334,1314,991,29
Washington County,Georgia,20347,8461,4200,4149,112
Wayne County,Georgia,29974,10413,2041,8153,219
Webster County,Georgia,2616,1116,473,630,13
Wheeler County,Georgia,8015,2102,646,1421,35
White County,Georgia,28828,11823,1674,9761,388
Whitfield County,Georgia,104406,30658,7937,21537,1184
Wilcox County,Georgia,8841,2976,852,2096,28
Wilkes County,Georgia,9809,4486,1848,2572,66
Wilkinson County,Georgia,9020,4287,1894,2333,60
Worth County,Georgia,20703,8295,2020,6152,123
Hawaii County,Hawaii,198316,64867,41259,17501,6107
Honolulu County,Hawaii,992268,285790,175696,90326,19768
Kauai County,Hawaii,71537,26335,16456,7574,2305
Maui County,Hawaii,165350,51945,33480,13446,5019
Ada County,Idaho,444486,195669,75677,93752,26240
Adams County,Idaho,3941,2183,415,1556,212
Bannock County,Idaho,84676,33416,10342,17180,5894
Bear Lake County,Idaho,5927,2928,255,2203,470
Benewah County,Idaho,9021,4185,770,3103,312
Bingham County,Idaho,45315,16625,2924,10907,2794
Blaine County,Idaho,22062,10724,6416,3340,968
Boise County,Idaho,7095,3814,777,2673,364
Bonner County,Idaho,42357,20943,5819,13343,1781
Bonneville County,Idaho,112118,44221,8930,26699,8592
Boundary County,Idaho,11701,5163,933,3789,441
Butte County,Idaho,2572,1230,160,914,156
Camas County,Idaho,1082,590,110,410,70
Canyon County,Idaho,211381,72785,16883,47222,8680
Caribou County,Idaho,6867,3035,271,2275,489
Cassia County,Idaho,23479,8178,1036,5949,1193
Clark County,Idaho,870,283,44,203,36
Clearwater County,Idaho,8651,3801,704,2852,245
Custer County,Idaho,4084,2414,427,1777,210
Elmore County,Idaho,26137,8522,1814,5816,892
Franklin County,Idaho,13320,5499,385,3901,1213
Fremont County,Idaho,12914,5715,651,4090,974
Gem County,Idaho,16959,7954,1229,5980,745
Gooding County,Idaho,15135,5191,930,3743,518
Idaho County,Idaho,16236,8233,1196,6441,596
Jefferson County,Idaho,27830,11475,976,8436,2063
Jerome County,Idaho,23433,6751,1329,4644,778
Kootenai County,Idaho,153019,66310,16264,44449,5597
Latah County,Idaho,39050,18173,8093,7265,2815
Lemhi County,Idaho,7709,4096,733,3011,352
Lewis County,Idaho,3846,1590,270,1202,118
Lincoln County,Idaho,5303,1748,360,1184,204
Madison County,Idaho,38972,15688,1201,8941,5546
Minidoka County,Idaho,20613,6871,1167,4887,817
Nez Perce County,Idaho,40136,17201,4828,10699,1674
Oneida County,Idaho,4296,2068,184,1531,353
