County,State,Population,Total Votes,Democrats,Republican,Other
Autauga County,Alabama,55243,24973,5936,18172,865
Baldwin County,Alabama,207601,95215,18458,72883,3874
Barbour County,Alabama,25806,10469,4871,5454,144
Bibb County,Alabama,22586,8819,1874,6738,207
Blount County,Alabama,57494,25588,2156,22859,573
Bullock County,Alabama,10389,4710,3530,1140,40
Butler County,Alabama,20012,8732,3726,4901,105
Calhoun County,Alabama,114973,47864,13242,32865,1757
Chambers County,Alabama,33745,13900,5784,7843,273
Cherokee County,Alabama,25768,10733,1547,8953,233
Chilton County,Alabama,43866,18369,2911,15081,377
Choctaw County,Alabama,13045,7292,3109,4106,77
Clarke County,Alabama,24340,13031,5749,7140,142
Clay County,Alabama,13393,6624,1237,5245,142
Cleburne County,Alabama,14848,6593,684,5764,145
Coffee County,Alabama,51202,20767,4221,15875,671
Colbert County,Alabama,54497,24915,7312,16746,857
Conecuh County,Alabama,12500,6585,3080,3420,85
Coosa County,Alabama,10819,5252,1782,3381,89
Covington County,Alabama,37382,15940,2387,13267,286
Crenshaw County,Alabama,13916,6267,1664,4513,90
Cullman County,Alabama,82450,37873,3798,32989,1086
Dale County,Alabama,49362,18749,4413,13808,528
Dallas County,Alabama,40080,18792,12836,5789,167
DeKalb County,Alabama,71104,25826,3622,21405,799
Elmore County,Alabama,81204,37260,8443,27634,1183
Escambia County,Alabama,37475,14845,4605,9935,305
Etowah County,Alabama,102855,44164,10442,32353,1369
Fayette County,Alabama,16563,8249,1362,6712,175
Franklin County,Alabama,31611,12040,2197,9466,377
Geneva County,Alabama,26494,11758,1525,9994,239
Greene County,Alabama,8482,4880,4013,838,29
Hale County,Alabama,14828,8040,4775,3173,92
Henry County,Alabama,17072,8072,2292,5632,148
Houston County,Alabama,104218,42639,10664,30728,1247
Jackson County,Alabama,51988,20984,3673,16672,639
Jefferson County,Alabama,660343,304191,156873,134768,12550
Lamar County,Alabama,13928,6966,1036,5823,107
Lauderdale County,Alabama,92425,39525,9952,27899,1674
Lawrence County,Alabama,33227,14829,3627,10833,369
Lee County,Alabama,159168,59191,21230,34617,3344
Limestone County,Alabama,92847,40294,9468,29067,1759
Lowndes County,Alabama,10248,6684,4883,1751,50
Macon County,Alabama,19060,9140,7566,1431,143
Madison County,Alabama,356729,163389,62822,89520,11047
Marengo County,Alabama,19525,10994,5615,5233,146
Marion County,Alabama,29960,12984,1432,11274,278
Marshall County,Alabama,95113,35316,4917,29233,1166
Mobile County,Alabama,414945,172737,72186,95116,5435
Monroe County,Alabama,21548,10271,4332,5795,144
Montgomery County,Alabama,227170,95878,58916,34003,2959
Morgan County,Alabama,119006,50644,11254,37486,1904
Perry County,Alabama,9532,5278,3824,1407,47
Pickens County,Alabama,20325,9542,3972,5456,114
Pike County,Alabama,33464,13168,5056,7693,419
Randolph County,Alabama,22504,10187,2291,7705,191
Russell County,Alabama,58185,19256,9579,9210,467
St. Clair County,Alabama,87306,38400,5589,31651,1160
Shelby County,Alabama,211282,101254,22977,73020,5257
Sumter County,Alabama,12967,6411,4746,1581,84
Talladega County,Alabama,80552,33407,12121,20614,672
Tallapoosa County,Alabama,40586,19486,5519,13594,373
Tuscaloosa County,Alabama,206464,82700,31762,47723,3215
Walker County,Alabama,64533,29472,4497,24266,709
Washington County,Alabama,16621,8533,2374,6042,117
Wilcox County,Alabama,10844,6118,4339,1737,42
Winston County,Alabama,23907,10313,872,9228,213
Apache County,Arizona,71381,27661,17083,8240,2338
Cochise County,Arizona,125686,50015,17450,28092,4473
Coconino County,Arizona,140407,59784,32404,21108,6272
Gila County,Arizona,53356,36697,7003,14182,1127
Graham County,Arizona,37807,20306,3301,8025,808
Greenlee County,Arizona,9643,5192,1092,1892,286
La Paz County,Arizona,20648,5951,1575,4003,373
Maricopa County,Arizona,4256143,1567834,702907,747361,117566
Mohave County,Arizona,205412,79943,17455,58282,4206
Navajo County,Arizona,108467,40294,16459,20577,3258
Pima County,Arizona,1016707,421640,224661,167428,29551
Pinal County,Arizona,417193,129546,47892,72819,8835
Santa Cruz County,Arizona,46400,16433,11690,3897,846
Yavapai County,Arizona,224575,114450,35590,71330,7530
Yuma County,Arizona,207247,53010,24605,25165,3240
Arkansas County,Arkansas,18154,6212,1939,3826,447
Ashley County,Arkansas,20530,8083,2408,5338,337
Baxter County,Arkansas,41131,19766,4169,14682,915
Benton County,Arkansas,259212,96824,28005,60871,7948
Boone County,Arkansas,37259,16111,2926,12235,950
Bradley County,Arkansas,10959,3653,1317,2164,172
Calhoun County,Arkansas,5143,2269,639,1556,74
Carroll County,Arkansas,27728,10758,3342,6786,630
Chicot County,Arkansas,10899,4176,2350,1716,110
Clark County,Arkansas,22602,8526,3620,4404,502
Clay County,Arkansas,15060,5200,1199,3781,220
Cleburne County,Arkansas,25173,12085,2101,9458,526
Cleveland County,Arkansas,8245,3354,723,2462,169
Columbia County,Arkansas,24026,8887,3140,5456,291
Conway County,Arkansas,20874,7927,2656,4849,422
Craighead County,Arkansas,105932,35573,10538,22892,2143
Crawford County,Arkansas,62263,22450,4488,16686,1276
Crittenden County,Arkansas,49306,15952,8410,6964,578
Cross County,Arkansas,17025,6874,1999,4584,291
Dallas County,Arkansas,7399,2771,1165,1509,97
Desha County,Arkansas,11905,4257,2228,1919,110
Drew County,Arkansas,18553,6595,2365,3968,262
Faulkner County,Arkansas,122206,47527,14629,29346,3552
Franklin County,Arkansas,17655,6770,1376,5039,355
Fulton County,Arkansas,12099,4772,1067,3471,234
Garland County,Arkansas,98282,40805,12311,26087,2407
Grant County,Arkansas,18064,7445,1373,5725,347
Greene County,Arkansas,44730,14600,3071,10720,809
Hempstead County,Arkansas,22032,7049,2377,4401,271
Hot Spring County,Arkansas,33438,11944,3149,8172,623
Howard County,Arkansas,13350,4674,1351,3157,166
Independence County,Arkansas,37117,13614,2881,9936,797
Izard County,Arkansas,13488,5448,1113,4042,293
Jackson County,Arkansas,17282,5156,1583,3267,306
Jefferson County,Arkansas,70407,25894,15772,9250,872
Johnson County,Arkansas,26127,9112,2427,6091,594
Lafayette County,Arkansas,6888,2860,1032,1758,70
Lawrence County,Arkansas,16639,5685,1263,4064,358
Lee County,Arkansas,9337,3026,1735,1229,62
Lincoln County,Arkansas,13728,3826,1252,2455,119
Little River County,Arkansas,12406,5227,1397,3605,225
Logan County,Arkansas,21732,7921,1715,5746,460
Lonoke County,Arkansas,71803,27100,5664,19958,1478
Madison County,Arkansas,16112,6841,1588,4928,325
Marion County,Arkansas,16376,7107,1434,5336,337
Miller County,Arkansas,43713,16091,4273,11294,524
