County,State,Population,Total Votes,Democrats,Republican,Other
Autauga County,Alabama,44021,17208,4942,11993,273
Baldwin County,Alabama,141342,56480,13997,40872,1611
Barbour County,Alabama,29015,10395,5188,5096,111
Bibb County,Alabama,19913,7101,2710,4273,118
Blount County,Alabama,51107,17973,4977,12667,329
Bullock County,Alabama,11581,4904,3395,1433,76
Butler County,Alabama,21325,7803,3606,4127,70
Calhoun County,Alabama,111081,38909,15781,22306,822
Chambers County,Alabama,36571,11834,5616,6037,181
Cherokee County,Alabama,24006,7823,3497,4154,172
Chilton County,Alabama,39897,15092,4806,10066,220
Choctaw County,Alabama,15875,7374,3707,3600,67
Clarke County,Alabama,27819,10752,4679,5988,85
Clay County,Alabama,14263,5883,2045,3719,119
Cleburne County,Alabama,14172,5092,1664,3333,95
Coffee County,Alabama,43580,15434,5220,9938,276
Colbert County,Alabama,54997,21532,10543,10518,471
Conecuh County,Alabama,14035,5551,2783,2699,69
Coosa County,Alabama,11844,4567,2104,2382,81
Covington County,Alabama,37514,13613,4440,8961,212
Crenshaw County,Alabama,13692,4795,1934,2793,68
Cullman County,Alabama,77473,29525,9758,19157,610
Dale County,Alabama,49124,15806,4906,10593,307
Dallas County,Alabama,46198,18464,10967,7360,137
DeKalb County,Alabama,64650,20285,7056,12827,402
Elmore County,Alabama,66160,23804,6652,16777,375
Escambia County,Alabama,38325,11660,4523,6975,162
Etowah County,Alabama,103286,39348,17433,21087,828
Fayette County,Alabama,18512,7808,3064,4582,162
Franklin County,Alabama,31242,11103,4793,6119,191
Geneva County,Alabama,25740,9559,2769,6588,202
Greene County,Alabama,9902,4396,3504,850,42
Hale County,Alabama,18194,7731,4652,2984,95
Henry County,Alabama,16341,6932,2782,4054,96
Houston County,Alabama,88943,32057,9412,22150,495
Jackson County,Alabama,53979,17906,9066,8475,365
Jefferson County,Alabama,662033,273763,129889,138491,5383
Lamar County,Alabama,15923,7249,2653,4470,126
Lauderdale County,Alabama,88039,32137,13875,17478,784
Lawrence County,Alabama,34874,12185,6296,5671,218
Lee County,Alabama,115430,38264,14574,22433,1257
Limestone County,Alabama,65966,23634,8992,14204,438
Lowndes County,Alabama,13471,6243,4557,1638,48
Macon County,Alabama,24047,8831,7665,1091,75
Madison County,Alabama,278006,113318,48199,62151,2968
Marengo County,Alabama,22564,9608,4841,4690,77
Marion County,Alabama,31137,11756,4600,6910,246
Marshall County,Alabama,82429,27989,10381,17084,524
Mobile County,Alabama,400073,139745,58640,78162,2943
Monroe County,Alabama,24319,8951,3741,5153,57
Montgomery County,Alabama,223428,80328,40371,38827,1130
Morgan County,Alabama,111221,42681,16060,25774,847
Perry County,Alabama,11809,5787,4020,1732,35
Pickens County,Alabama,20881,8540,4143,4306,91
Pike County,Alabama,29748,10544,4357,6058,129
Randolph County,Alabama,22377,7919,3094,4666,159
Russell County,Alabama,49805,14775,8396,6198,181
St. Clair County,Alabama,65080,24090,6485,17117,488
Shelby County,Alabama,144674,62128,13183,47651,1294
Sumter County,Alabama,14746,6088,4415,1629,44
Talladega County,Alabama,80772,25451,11264,13807,380
Tallapoosa County,Alabama,41689,16253,6183,9805,265
Tuscaloosa County,Alabama,165414,60114,24614,34003,1497
Walker County,Alabama,70602,25641,11621,13486,534
Washington County,Alabama,18101,7596,3386,4117,93
Wilcox County,Alabama,12939,5126,3444,1661,21
Winston County,Alabama,24857,9318,2692,6413,213
Apache County,Arizona,69507,19456,13025,5947,484
Cochise County,Arizona,118132,33241,13360,18180,1701
Coconino County,Arizona,116773,40883,20280,17562,3041
Gila County,Arizona,51332,17736,7700,9158,878
Graham County,Arizona,33511,9664,3355,6007,302
Greenlee County,Arizona,8547,2960,1216,1619,125
La Paz County,Arizona,19611,4483,1769,2543,171
Maricopa County,Arizona,3092197,901699,386683,479967,35049
Mohave County,Arizona,156215,44141,17470,24386,2285
Navajo County,Arizona,97689,25147,11794,12386,967
Pima County,Arizona,848019,287640,147688,124579,15373
Pinal County,Arizona,181280,41290,19650,20122,1518
Santa Cruz County,Arizona,38589,8893,5233,3344,316
Yavapai County,Arizona,168608,68228,24063,40144,4021
Yuma County,Arizona,160576,28652,12055,15708,889
Arkansas County,Arkansas,20776,6372,2877,3353,142
Ashley County,Arkansas,24179,8271,4253,3876,142
Baxter County,Arkansas,38446,16708,6516,9538,654
Benton County,Arkansas,154744,53646,17277,34838,1531
Boone County,Arkansas,34051,13635,4493,8569,573
Bradley County,Arkansas,12597,3979,2122,1793,64
Calhoun County,Arkansas,5709,2185,1017,1128,40
Carroll County,Arkansas,25369,9590,3595,5556,439
Chicot County,Arkansas,14062,4452,2820,1564,68
Clark County,Arkansas,23474,8626,4661,3776,189
Clay County,Arkansas,17537,5900,3527,2254,119
Cleburne County,Arkansas,24100,10207,4120,5730,357
Cleveland County,Arkansas,8536,3181,1414,1678,89
Columbia County,Arkansas,25599,9307,4003,5018,286
Conway County,Arkansas,20312,7234,3496,3545,193
Craighead County,Arkansas,82519,25157,12376,12158,623
Crawford County,Arkansas,53404,17625,6288,10804,533
Crittenden County,Arkansas,50915,13234,7224,5857,153
Cross County,Arkansas,19458,6215,3096,3033,86
Dallas County,Arkansas,9146,3325,1710,1571,44
Desha County,Arkansas,15302,4495,2776,1603,116
Drew County,Arkansas,18670,5922,3060,2756,106
Faulkner County,Arkansas,86501,29216,11950,16055,1211
Franklin County,Arkansas,17737,6140,2674,3277,189
Fulton County,Arkansas,11656,4108,1976,2036,96
Garland County,Arkansas,88311,35935,15840,19098,997
Grant County,Arkansas,16476,6013,2535,3285,193
