County,State,Population,Total Votes,Democrats,Republican,Other
Greene County,Arkansas,37563,12484,6319,5831,334
Hempstead County,Arkansas,23620,7289,3937,3257,95
Hot Spring County,Arkansas,30480,10981,5527,5042,412
Howard County,Arkansas,14233,4459,2063,2326,70
Independence County,Arkansas,34333,11594,5146,6145,303
Izard County,Arkansas,13298,5032,2587,2301,144
Jackson County,Arkansas,18403,6072,3651,2280,141
Jefferson County,Arkansas,84171,27201,17716,8765,720
Johnson County,Arkansas,22813,7161,3270,3657,234
Lafayette County,Arkansas,8539,3383,1806,1538,39
Lawrence County,Arkansas,17672,6040,3255,2626,159
Lee County,Arkansas,12527,4121,2727,1351,43
Lincoln County,Arkansas,14477,3546,1957,1526,63
Little River County,Arkansas,13613,5263,2883,2283,97
Logan County,Arkansas,22500,8096,3283,4487,326
Lonoke County,Arkansas,53153,17943,6851,10606,486
Madison County,Arkansas,14272,5628,2055,3387,186
Marion County,Arkansas,16162,6015,2233,3402,380
Miller County,Arkansas,40436,13745,6278,7276,191
Mississippi County,Arkansas,51849,12586,7107,5199,280
Monroe County,Arkansas,10182,3293,1910,1329,54
Montgomery County,Arkansas,9263,3739,1438,2128,173
Nevada County,Arkansas,9895,3738,1867,1796,75
Newton County,Arkansas,8642,3927,1205,2529,193
Ouachita County,Arkansas,28677,10395,5464,4739,192
Perry County,Arkansas,10223,4007,1648,2114,245
Phillips County,Arkansas,26290,9313,6018,3154,141
Pike County,Arkansas,11332,3971,1604,2275,92
Poinsett County,Arkansas,25617,7235,4102,2988,145
Polk County,Arkansas,20268,7193,2315,4600,278
Pope County,Arkansas,54541,18422,6669,11244,509
Prairie County,Arkansas,9491,3507,1563,1862,82
Pulaski County,Arkansas,361876,127151,68320,55866,2965
Randolph County,Arkansas,18155,5877,3019,2673,185
St. Francis County,Arkansas,29325,8496,4986,3414,96
Saline County,Arkansas,84084,32391,12700,18617,1074
Scott County,Arkansas,10980,3981,1444,2399,138
Searcy County,Arkansas,8246,4058,1229,2610,219
Sebastian County,Arkansas,115578,40159,15555,23483,1121
Sevier County,Arkansas,15747,4293,2095,2111,87
Sharp County,Arkansas,17138,7126,3236,3698,192
Stone County,Arkansas,11519,4860,2043,2623,194
Union County,Arkansas,45532,15609,6261,8647,701
Van Buren County,Arkansas,16221,6984,3202,3485,297
Washington County,Arkansas,158851,51459,21425,28231,1803
White County,Arkansas,67382,22150,8342,13170,638
Woodruff County,Arkansas,8686,2651,1699,898,54
Yell County,Arkansas,21147,6479,3062,3223,194
Alameda County,California,1449840,494336,342889,119279,32168
Alpine County,California,1209,586,265,281,40
Amador County,California,35153,15464,5906,8766,792
Butte County,California,203807,83721,31338,45584,6799
Calaveras County,California,40645,18876,7093,10599,1184
Colusa County,California,18817,5590,1745,3629,216
Contra Costa County,California,952810,381478,224338,141373,15767
Del Norte County,California,27440,8294,3117,4526,651
El Dorado County,California,157162,72136,26220,42045,3871
Fresno County,California,801288,220835,95059,117342,8434
Glenn County,California,26416,8711,2498,5795,418
Humboldt County,California,126462,55972,24851,23219,7902
Imperial County,California,142410,28937,15489,12524,924
Inyo County,California,17955,7815,2652,4713,450
Kern County,California,663803,182308,66003,110663,5642
Kings County,California,129835,28335,11041,16377,917
Lake County,California,58538,20919,10717,8699,1503
Lassen County,California,33719,10586,2982,7080,524
Los Angeles County,California,9538191,2695154,1710505,871930,112719
Madera County,California,123587,33395,11650,20283,1462
Marin County,California,247520,123155,79135,34872,9148
Mariposa County,California,17101,8074,2816,4727,531
Mendocino County,California,86407,34410,16634,12272,5504
Merced County,California,212258,50418,22726,26102,1590
Modoc County,California,9406,4107,945,2969,193
Mono County,California,12921,4371,1788,2296,287
Monterey County,California,402990,117534,67618,43761,6155
Napa County,California,124565,51724,28097,20633,2994
Nevada County,California,92520,47479,17670,25998,3811
Orange County,California,2854513,970905,391819,541299,37787
Placer County,California,251012,117799,42449,69835,5515
Plumas County,California,20754,10401,3458,6343,600
Riverside County,California,1558985,451127,202576,231955,16596
Sacramento County,California,1229940,431550,212792,195619,23139
San Benito County,California,53781,16831,9131,7015,685
San Bernardino County,California,1718037,454893,214749,221757,18387
San Diego County,California,2827366,958634,437666,475736,45232
San Francisco County,California,777885,319786,241578,51496,26712
San Joaquin County,California,567885,167239,79776,81773,5690
San Luis Obispo County,California,247839,108886,44526,56859,7501
San Mateo County,California,707820,259399,166757,80296,12346
Santa Barbara County,California,399990,154974,73411,71493,10070
Santa Clara County,California,1684947,548129,332490,188750,26889
Santa Cruz County,California,255835,108350,66618,29627,12105
Shasta County,California,163615,66544,20127,43278,3139
Sierra County,California,3574,1847,540,1172,135
Siskiyou County,California,44218,19819,6323,12198,1298
Solano County,California,396974,131735,75116,51604,5015
Sonoma County,California,460421,197006,117295,63529,16182
Stanislaus County,California,449471,128267,56448,67188,4631
Sutter County,California,79192,26564,8416,17350,798
Tehama County,California,56170,20854,6507,13270,1077
Trinity County,California,12980,5797,1932,3340,525
Tulare County,California,368627,89818,33006,54070,2742
Tuolumne County,California,54658,23727,9359,13172,1196
Ventura County,California,756506,282692,133258,136173,13261
Yolo County,California,169835,61436,33747,23057,4632
Yuba County,California,60372,16127,5546,9838,743
Adams County,Colorado,350888,107852,54132,47561,6159
Alamosa County,Colorado,14954,5659,2455,2857,347
Arapahoe County,Colorado,491482,189942,82614,97768,9560
Archuleta County,Colorado,10020,4758,1432,2988,338
Baca County,Colorado,4501,2278,531,1663,84
Bent County,Colorado,5954,1963,783,1096,84
Boulder County,Colorado,271574,139626,69983,50873,18770
Chaffee County,Colorado,16337,7610,2768,4300,542
Cheyenne County,Colorado,2209,1212,209,957,46
Clear Creek County,Colorado,9255,4924,2188,2247,489
Conejos County,Colorado,8401,3671,1749,1772,150
Costilla County,Colorado,3675,1648,1054,504,90
Crowley County,Colorado,5509,1445,511,855,79
Custer County,Colorado,3523,2111,507,1451,153
Delta County,Colorado,27877,12686,3264,8372,1050
Denver County,Colorado,555651,198347,122693,61224,14430
Dolores County,Colorado,1847,1134,293,741,100
Douglas County,Colorado,180121,86225,27076,56007,3142
Eagle County,Colorado,41961,15188,6772,7165,1251
Elbert County,Colorado,20060,8965,2326,6151,488
El Paso County,Colorado,519938,200757,61799,128294,10664
Fremont County,Colorado,46245,16056,5293,9914,849
Garfield County,Colorado,44257,17104,6087,9103,1914
Gilpin County,Colorado,4783,2465,1099,1006,360
Grand County,Colorado,12496,6353,2308,3570,475
Gunnison County,Colorado,14068,7236,3059,3128,1049
Hinsdale County,Colorado,791,566,188,316,62
Huerfano County,Colorado,7771,3174,1495,1466,213
Jackson County,Colorado,1577,925,173,682,70
Jefferson County,Colorado,526251,235491,100970,120138,14383
Kiowa County,Colorado,1610,968,211,728,29
Kit Carson County,Colorado,7971,3458,809,2542,107
Lake County,Colorado,7815,2628,1296,1056,276
La Plata County,Colorado,44228,20490,7864,9993,2633
Larimer County,Colorado,253072,118537,46055,62429,10053
Las Animas County,Colorado,15297,6094,3243,2569,282
Lincoln County,Colorado,6070,2199,510,1630,59
Logan County,Colorado,20699,8096,2296,5531,269
Mesa County,Colorado,117631,51054,15465,32396,3193
Mineral County,Colorado,832,486,168,294,24
Moffat County,Colorado,13147,5337,1223,3840,274
Montezuma County,Colorado,23847,9384,2556,6158,670
Montrose County,Colorado,33599,14215,4041,9266,908
Morgan County,Colorado,27257,8998,2885,5722,391
Otero County,Colorado,20242,7312,2963,4082,267
Ouray County,Colorado,3775,2233,705,1279,249
Park County,Colorado,14670,6665,2393,3677,595
Phillips County,Colorado,4455,2220,564,1573,83
Pitkin County,Colorado,14817,7800,4137,2565,1098
Prowers County,Colorado,14431,4524,1361,3026,137
Pueblo County,Colorado,141800,53946,28888,22827,2231
Rio Blanco County,Colorado,5986,2855,543,2185,127
Rio Grande County,Colorado,12445,5075,1707,3111,257
Routt County,Colorado,19815,9638,4208,4472,958
Saguache County,Colorado,5939,2529,1145,1078,306
San Juan County,Colorado,562,436,149,210,77
San Miguel County,Colorado,6609,3255,1598,1043,614
Sedgwick County,Colorado,2746,1303,384,877,42
Summit County,Colorado,23700,11068,5304,4497,1267
Teller County,Colorado,20655,9847,2750,6477,620
Washington County,Colorado,4939,2445,477,1878,90
Weld County,Colorado,182782,64541,23436,37409,3696
Yuma County,Colorado,9823,4358,1082,3156,120
Fairfield County,Connecticut,884364,370289,193769,159659,16861
Hartford County,Connecticut,858416,367556,221167,127468,18921
Litchfield County,Connecticut,182597,87338,41806,39172,6360
Middlesex County,Connecticut,155593,77433,43319,29295,4819
New Haven County,Connecticut,824911,341099,197928,122919,20252
New London County,Connecticut,259848,109147,60449,41168,7530
Tolland County,Connecticut,136863,62700,33554,24705,4441
Windham County,Connecticut,109185,43963,24023,16708,3232
Kent County,Delaware,127229,48247,22790,24081,1376
New Castle County,Delaware,501837,212995,127539,78587,6869
Sussex County,Delaware,157307,66287,29739,34620,1928
District of Columbia,District of Columbia,572046,201894,171923,18073,11898
Alachua County,Florida,218611,85729,47365,34124,4240
Baker County,Florida,22374,8154,2392,5610,152
Bay County,Florida,148393,58805,18850,38637,1318
Bradford County,Florida,26064,8673,3075,5414,184
Brevard County,Florida,477819,218395,97318,115185,5892
Broward County,Florida,1630600,575143,387703,177902,9538
Calhoun County,Florida,13040,5174,2155,2873,146
Charlotte County,Florida,142266,66896,29645,35426,1825
Citrus County,Florida,118649,57206,25525,29767,1914
Clay County,Florida,141629,57353,14632,41736,985
Collier County,Florida,254015,92162,29921,60450,1791
Columbia County,Florida,56571,18508,7047,10964,497
DeSoto County,Florida,32196,7817,3320,4256,241
Dixie County,Florida,13758,4666,1826,2697,143
Duval County,Florida,779800,264636,107864,152098,4674
Escambia County,Florida,294725,116648,40943,73017,2688
Flagler County,Florida,50579,27111,13897,12613,601
Franklin County,Florida,9839,4644,2046,2454,144
Gadsden County,Florida,44950,14727,9735,4767,225
Gilchrist County,Florida,14443,5395,1910,3300,185
Glades County,Florida,10579,3365,1442,1841,82
Gulf County,Florida,14566,6144,2397,3550,197
Hamilton County,Florida,13330,3964,1722,2146,96
Hardee County,Florida,26769,6233,2339,3765,129
Hendry County,Florida,36255,8139,3240,4747,152
Hernando County,Florida,131390,65219,32644,30646,1929
Highlands County,Florida,87417,35149,14167,20206,776
Hillsborough County,Florida,1003435,360295,169557,180760,9978
Holmes County,Florida,18553,7395,2177,5011,207
Indian River County,Florida,113323,49622,19768,28635,1219
Jackson County,Florida,46701,16300,6868,9138,294
Jefferson County,Florida,12891,5644,3041,2478,125
Lafayette County,Florida,7011,2505,789,1670,46
Lake County,Florida,212347,88611,36571,50010,2030
Lee County,Florida,444311,184377,73560,106141,4676
Leon County,Florida,240571,103124,61427,39062,2635
Levy County,Florida,34644,12724,5398,6858,468
Liberty County,Florida,6989,2410,1017,1317,76
Madison County,Florida,18734,6162,3014,3038,110
Manatee County,Florida,265644,110221,49177,57952,3092
Marion County,Florida,260221,102956,44665,55141,3150
Martin County,Florida,127301,62013,26620,33970,1423
Miami-Dade County,Florida,2259508,625449,328808,289533,7108
Monroe County,Florida,79470,33896,16483,16059,1354
Nassau County,Florida,57957,23780,6952,16404,424
Okaloosa County,Florida,171200,70680,16948,52093,1639
Okeechobee County,Florida,35917,9853,4588,5057,208
Orange County,Florida,903019,280125,140220,134517,5388
Osceola County,Florida,174146,55659,28181,26212,1266
Palm Beach County,Florida,1135787,433186,269732,152951,10503
Pasco County,Florida,347038,142731,69564,68582,4585
Pinellas County,Florida,922150,398472,200630,184825,13017
Polk County,Florida,485515,168607,75200,90295,3112
Putnam County,Florida,70433,26222,12102,13447,673
St. Johns County,Florida,124522,60746,19502,39546,1698
St. Lucie County,Florida,193518,77989,41559,34705,1725
Santa Rosa County,Florida,118360,50319,12802,36274,1243
Sarasota County,Florida,327165,160942,72853,83100,4989
Seminole County,Florida,367378,137634,59174,75677,2783
Sumter County,Florida,53738,22261,9637,12127,497
Suwannee County,Florida,35071,12473,4075,8006,392
Taylor County,Florida,19233,6808,2649,4056,103
Union County,Florida,13450,3826,1407,2332,87
Volusia County,Florida,444935,183654,97304,82357,3993
Wakulla County,Florida,22924,8587,3838,4512,237
Walton County,Florida,40755,18318,5642,12182,494
Washington County,Florida,21023,8029,2798,4994,237
Appling County,Georgia,17396,6099,2093,3940,66
Atkinson County,Georgia,7591,2071,821,1228,22
Bacon County,Georgia,10131,2995,956,2010,29
Baker County,Georgia,4025,1519,893,615,11
Baldwin County,Georgia,44684,12126,5893,6041,192
Banks County,Georgia,14544,4533,1220,3202,111
Barrow County,Georgia,46520,12102,3657,7925,520
Bartow County,Georgia,76806,22781,7508,14720,553
Ben Hill County,Georgia,17483,4661,2234,2381,46
Berrien County,Georgia,16268,4410,1640,2718,52
Bibb County,Georgia,153857,49776,24996,24071,709
Bleckley County,Georgia,11654,3749,1273,2436,40
Brantley County,Georgia,14700,4566,1372,3118,76
Brooks County,Georgia,16458,4551,2096,2406,49
Bryan County,Georgia,23474,7059,2172,4835,52
Bulloch County,Georgia,56146,14782,5561,8990,231
Burke County,Georgia,22279,7135,3720,3381,34
Butts County,Georgia,19621,5635,2281,3198,156
Calhoun County,Georgia,6325,1887,1107,768,12
Camden County,Georgia,43824,10119,3636,6371,112
Candler County,Georgia,9585,2722,1053,1643,26
Carroll County,Georgia,87932,25741,8752,16326,663
Catoosa County,Georgia,53549,17721,5470,12033,218
Charlton County,Georgia,10312,2816,1015,1770,31
Chatham County,Georgia,232492,76475,37590,37847,1038
Chattahoochee County,Georgia,15047,1207,600,590,17
Chattooga County,Georgia,25419,6477,2729,3640,108
Cherokee County,Georgia,143777,52348,12295,38033,2020
Clarke County,Georgia,102401,28904,15167,11850,1887
Clay County,Georgia,3353,1277,821,448,8
Clayton County,Georgia,238079,61402,40042,19966,1394
Clinch County,Georgia,6831,1929,816,1091,22
Cobb County,Georgia,611505,235027,86676,140494,7857
Coffee County,Georgia,37592,9430,3593,5756,81
Colquitt County,Georgia,42140,9972,3297,6589,86
Columbia County,Georgia,90138,36008,8969,26660,379
Cook County,Georgia,15855,3944,1639,2279,26
Coweta County,Georgia,90117,31226,9056,21327,843
Crawford County,Georgia,12408,3567,1513,1987,67
Crisp County,Georgia,22018,5609,2268,3285,56
Dade County,Georgia,15199,5049,1628,3333,88
Dawson County,Georgia,16238,5898,1458,4210,230
Decatur County,Georgia,28223,7648,3398,4187,63
DeKalb County,Georgia,668271,219980,154509,58807,6664
Dodge County,Georgia,19168,5877,2326,3472,79
Dooly County,Georgia,11519,3520,1901,1588,31
Dougherty County,Georgia,95859,29064,16650,12248,166
Douglas County,Georgia,92774,30964,11162,18893,909
Early County,Georgia,12303,3585,1622,1938,25
Echols County,Georgia,3782,898,272,614,12
Effingham County,Georgia,37755,10650,3232,7326,92
Elbert County,Georgia,20464,5853,2527,3262,64
Emanuel County,Georgia,21851,6263,2835,3343,85
Evans County,Georgia,10531,3080,1217,1841,22
Fannin County,Georgia,19954,8390,2736,5463,191
Fayette County,Georgia,92073,42449,11912,29338,1199
Floyd County,Georgia,90837,26825,10282,16194,349
Forsyth County,Georgia,100400,35755,6694,27769,1292
Franklin County,Georgia,20314,5762,2040,3659,63
Fulton County,Georgia,816190,263212,152039,104870,6303
Gilmer County,Georgia,23634,7370,2230,4941,199
Glascock County,Georgia,2574,1020,249,763,8
Glynn County,Georgia,67696,22384,7778,14346,260
Gordon County,Georgia,44401,12205,4032,7944,229
Grady County,Georgia,23624,6703,2721,3894,88
Greene County,Georgia,14389,5197,2137,2980,80
Gwinnett County,Georgia,595584,191111,61434,121756,7921
Habersham County,Georgia,36095,9691,2530,6964,197
Hall County,Georgia,140993,38150,10259,26841,1050
Hancock County,Georgia,10066,3086,2414,662,10
Haralson County,Georgia,25788,8167,2869,5153,145
Harris County,Georgia,23912,8562,2912,5554,96
Hart County,Georgia,23046,7536,3192,4242,102
Heard County,Georgia,11038,3198,1178,1947,73
Henry County,Georgia,121774,38867,11971,25815,1081
Houston County,Georgia,111294,36988,13301,23174,513
Irwin County,Georgia,9905,2852,1105,1720,27
Jackson County,Georgia,41845,11635,3420,7878,337
Jasper County,Georgia,11496,3943,1558,2298,87
Jeff Davis County,Georgia,12734,4221,1379,2797,45
Jefferson County,Georgia,17229,5566,2973,2559,34
Jenkins County,Georgia,8584,2593,1250,1317,26
Johnson County,Georgia,8567,2883,1065,1797,21
Jones County,Georgia,23762,8068,3102,4850,116
Lamar County,Georgia,16024,5230,2194,2912,124
Lanier County,Georgia,7283,1904,832,1048,24
Laurens County,Georgia,44931,14036,5724,8133,179
Lee County,Georgia,24808,7884,1936,5872,76
Liberty County,Georgia,61811,9972,5347,4455,170
Lincoln County,Georgia,8335,3103,1275,1807,21
Long County,Georgia,10370,2314,975,1320,19
Lowndes County,Georgia,92206,25432,10616,14462,354
Lumpkin County,Georgia,21251,6750,2121,4427,202
McDuffie County,Georgia,21269,6550,2580,3926,44
McIntosh County,Georgia,10948,3837,2047,1766,24
Macon County,Georgia,14025,4355,2757,1566,32
Madison County,Georgia,25800,7993,2285,5529,179
Marion County,Georgia,7189,2184,982,1187,15
Meriwether County,Georgia,22526,6709,3441,3162,106
Miller County,Georgia,6351,2150,783,1349,18
Mitchell County,Georgia,23965,5799,2971,2790,38
Monroe County,Georgia,21824,7541,2839,4561,141
Montgomery County,Georgia,8234,2509,1013,1465,31
Morgan County,Georgia,15531,5902,2238,3524,140
Murray County,Georgia,36737,8372,2684,5539,149
Muscogee County,Georgia,186478,52163,28193,23479,491
Newton County,Georgia,62768,18375,6703,11127,545
Oconee County,Georgia,25874,11168,3184,7611,373
Oglethorpe County,Georgia,12688,4385,1519,2706,160
Paulding County,Georgia,83026,24260,6743,16881,636
Peach County,Georgia,23871,7137,3540,3525,72
Pickens County,Georgia,23412,8201,2489,5488,224
Pierce County,Georgia,15702,4681,1300,3348,33
Pike County,Georgia,13571,4885,1413,3358,114
Polk County,Georgia,38178,10116,4112,5841,163
Pulaski County,Georgia,9655,3346,1390,1922,34
Putnam County,Georgia,18834,6299,2612,3596,91
Quitman County,Georgia,2596,904,542,348,14
Rabun County,Georgia,15070,5341,1776,3451,114
Randolph County,Georgia,7773,2569,1381,1174,14
Richmond County,Georgia,199547,57538,31413,25485,640
Rockdale County,Georgia,70724,24649,8295,15440,914
Schley County,Georgia,3791,1176,460,706,10
Screven County,Georgia,15341,4719,2233,2461,25
Seminole County,Georgia,9329,2877,1313,1537,27
Spalding County,Georgia,58497,15391,5831,9271,289
Stephens County,Georgia,25482,8376,2869,5370,137
Stewart County,Georgia,5284,1954,1267,675,12
Sumter County,Georgia,33448,9697,4748,4847,102
Talbot County,Georgia,6563,2531,1662,844,25
Taliaferro County,Georgia,2076,832,556,271,5
Tattnall County,Georgia,22322,5610,1963,3597,50
Taylor County,Georgia,8821,2780,1340,1412,28
Telfair County,Georgia,11893,3493,1777,1693,23
Terrell County,Georgia,10935,3113,1584,1504,25
Thomas County,Georgia,42829,12058,4862,7093,103
Tift County,Georgia,38348,10328,3547,6678,103
Toombs County,Georgia,26137,7210,2643,4487,80
Towns County,Georgia,9348,4497,1495,2902,100
Treutlen County,Georgia,6862,1963,879,1062,22
Troup County,Georgia,58923,17804,6379,11198,227
Turner County,Georgia,9475,2456,1169,1258,29
Twiggs County,Georgia,10556,3615,1977,1570,68
Union County,Georgia,17398,6956,2230,4567,159
Upson County,Georgia,27746,8282,3158,5019,105
Walker County,Georgia,61268,18895,6341,12326,228
Walton County,Georgia,61413,19083,5484,12966,633
Ware County,Georgia,35421,9628,3480,6099,49
Warren County,Georgia,6275,2145,1196,933,16
Washington County,Georgia,21188,6691,3476,3162,53
Wayne County,Georgia,26596,8004,2736,5219,49
Webster County,Georgia,2398,909,541,359,9
Wheeler County,Georgia,6174,1575,752,813,10
White County,Georgia,20186,7043,2014,4857,172
Whitfield County,Georgia,84222,23302,7034,15852,416
Wilcox County,Georgia,8632,2365,962,1381,22
Wilkes County,Georgia,10694,4026,1940,2044,42
Wilkinson County,Georgia,10193,3740,1884,1800,56
Worth County,Georgia,21983,6061,2214,3792,55
Hawaii County,Hawaii,149244,50860,28670,17050,5140
Honolulu County,Hawaii,876629,255990,139618,101310,15062
Kauai County,Hawaii,58568,21773,13470,6583,1720
Maui County,Hawaii,128933,39248,23484,12876,2888
Ada County,Idaho,303328,123485,40650,75050,7785
Adams County,Idaho,3477,1909,336,1476,97
Bannock County,Idaho,75728,30852,10892,18223,1737
Bear Lake County,Idaho,6424,2899,517,2296,86
Benewah County,Idaho,9186,3687,895,2606,186
Bingham County,Idaho,41753,14465,3310,10628,527
Blaine County,Idaho,19115,7938,3748,3528,662
Boise County,Idaho,6702,3055,745,2019,291
Bonner County,Idaho,36950,14537,4318,8945,1274
Bonneville County,Idaho,82968,33556,7235,24988,1333
Boundary County,Idaho,9913,3884,832,2797,255
Butte County,Idaho,2894,1460,354,1054,52
Camas County,Idaho,968,507,113,359,35
Canyon County,Idaho,133082,43000,10588,30560,1852
Caribou County,Idaho,7281,3177,475,2601,101
Cassia County,Idaho,21393,7279,1087,5983,209
Clark County,Idaho,1024,382,63,311,8
Clearwater County,Idaho,8930,3896,841,2885,170
Custer County,Idaho,4336,2330,416,1794,120
Elmore County,Idaho,28610,6966,1840,4891,235
Franklin County,Idaho,11350,4243,513,3594,136
Fremont County,Idaho,11769,5088,699,4242,147
Gem County,Idaho,15215,5983,1346,4376,261
Gooding County,Idaho,14196,5026,1282,3502,242
Idaho County,Idaho,15470,7452,1187,5806,459
Jefferson County,Idaho,19193,7836,1100,6480,256
Jerome County,Idaho,18493,6007,1360,4418,229
Kootenai County,Idaho,109487,43812,13488,28162,2162
Latah County,Idaho,34878,15311,5661,8161,1489
Lemhi County,Idaho,7724,3641,660,2859,122
Lewis County,Idaho,3740,1688,335,1295,58
Lincoln County,Idaho,4051,1574,437,1049,88
Madison County,Idaho,27519,8970,816,7941,213
Minidoka County,Idaho,20103,6518,1344,4907,267
Nez Perce County,Idaho,37398,16021,4995,10577,449
Oneida County,Idaho,4135,1798,307,1426,65
Owyhee County,Idaho,10690,3188,623,2450,115
Payette County,Idaho,20624,6858,1643,4961,254
Power County,Idaho,7484,2709,755,1872,82
Shoshone County,Idaho,13762,5385,2225,2879,281
